org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
10년,4,7,5,4,3,6,3,5,4,5
10월,2,2,3,2,2,5,1,4,1,1
120Hz,0,0,0,1,1,0,1,0,1,1
12억달러,1,0,3,1,2,2,2,2,2,4
14개,1,0,0,0,1,1,1,0,0,1
15선,0,1,0,0,0,2,0,0,0,0
163.8억원,0,2,2,2,3,2,2,0,3,4
1년,1,0,0,0,1,1,1,0,0,1
1위,0,1,1,0,2,1,1,1,0,2
2023년,1,2,2,2,2,3,2,4,2,4
2024년,5,3,2,1,2,1,1,2,2,1
2025년,0,2,2,2,3,2,2,0,3,4
2030년,1,0,3,1,2,2,2,2,2,4
2030년에,1,1,3,1,2,1,2,0,2,4
2가지,1,0,1,1,2,1,2,2,2,3
2만3000대,1,3,4,1,2,2,1,2,0,3
3분기,0,0,3,7,4,4,4,1,3,6
4개,0,0,1,1,2,1,2,0,1,2
4분기,0,2,2,2,2,2,2,1,2,4
500니트,0,0,0,1,1,0,1,0,1,1
52주,1,0,0,0,1,1,1,0,0,1
7은,0,1,2,0,3,0,1,3,1,2
8.6G,2,6,4,8,8,7,6,2,8,14
8.6세대,0,11,15,15,18,16,16,10,22,32
8세대,0,1,2,2,2,2,2,1,5,4
9월,0,0,0,0,1,2,0,0,0,0
advertisement,1,4,2,4,2,2,5,1,2,3
AI,29,10,14,15,11,10,12,9,6,14
AI전화,1,0,0,2,0,2,0,1,0,0
and,2,0,0,1,0,0,0,1,0,1
AP시스템,1,4,6,9,8,5,8,3,20,16
AR,14,4,6,4,4,7,4,4,4,8
AR스마트글래스,4,2,2,1,1,1,1,1,1,1
BEMS,0,1,2,0,0,1,0,1,1,0
BOE,1,5,4,5,4,5,4,3,6,8
by,2,0,0,1,0,0,0,1,0,1
BYD,0,1,2,0,3,0,1,3,1,2
BYD코리아,0,1,2,0,3,0,1,3,1,2
CCTV,2,0,0,4,0,4,0,2,0,0
CGV,0,0,0,0,1,2,0,0,0,0
chips,2,0,0,1,0,0,0,1,0,1
CJ그룹,0,3,3,1,3,2,4,0,2,5
CLENOX,0,2,5,0,0,0,0,0,0,8
CML,0,0,1,0,0,1,0,3,0,0
cooling,2,0,0,1,0,0,0,1,0,1
Corintis,2,0,0,1,0,0,0,1,0,1
CTO,0,3,3,1,3,2,4,0,2,5
DA,2,1,1,2,1,2,1,2,1,2
DB하이텍,4,2,2,1,1,2,1,3,2,3
E-ONG,3,20,12,9,8,0,8,0,8,12
ELA,1,4,6,9,8,5,8,3,20,16
EMI,0,4,8,0,6,0,2,0,2,2
End,1,0,0,0,1,1,1,0,0,1
for,2,0,0,1,0,0,0,1,0,1
HVAC,0,1,2,0,0,1,0,1,1,0
IFA,3,5,3,2,1,3,1,1,2,1
in,2,0,0,1,0,0,0,1,0,1
is,2,0,0,1,0,0,0,1,0,1
IT,2,10,7,13,14,11,13,6,9,20
IT서비스,1,0,1,1,2,3,1,4,0,1
IT용,1,1,0,3,4,3,2,1,1,5
JDM,1,2,3,3,2,3,1,1,2,2
KBO,0,0,0,0,1,2,0,0,0,0
KT,2,0,2,2,1,1,0,2,0,0
Laser,1,1,1,3,2,1,2,2,5,4
LCD,0,4,4,6,6,3,6,2,4,8
LED,5,8,15,7,8,9,8,5,4,18
LFD,0,0,2,2,3,1,5,0,1,4
LG디스플레,1,14,21,19,21,20,22,12,18,36
LG디스플레이,1,8,10,12,12,10,12,10,9,19
LG디스플레이에,0,0,2,4,2,2,2,0,2,3
LG유플러스,1,0,0,2,1,4,0,1,0,0
LG전자,4,8,11,7,7,9,5,3,6,6
LG화학,1,0,3,1,1,1,2,0,2,1
Lis,0,0,2,0,0,1,0,0,0,0
LLO,0,1,2,2,2,1,2,0,5,4
LTOM,3,20,12,9,8,0,8,0,8,12
LTPO,0,1,2,3,3,2,3,2,5,4
LTPS,0,1,2,2,2,2,2,2,4,3
Meta,5,3,2,1,2,1,1,2,2,1
Micro-LED,5,3,12,3,6,7,6,4,4,14
MMCA,0,0,1,1,2,1,2,0,1,2
NB,0,2,2,0,0,0,0,0,0,4
Non-HW,0,1,2,0,0,1,0,1,1,0
of,2,0,0,1,0,0,0,1,0,1
OGF,2,1,2,0,3,0,1,1,0,1
OLED,8,39,53,72,68,52,74,24,69,108
OMEN,0,0,2,3,4,2,7,0,2,6
on,2,0,0,1,0,0,0,1,0,1
P-Complex,0,1,1,0,0,0,0,0,0,2
PC,6,6,7,3,5,1,7,4,2,4
PID,1,0,3,1,1,1,2,0,2,1
Pin,0,2,7,0,0,0,0,0,0,10
Ray-Ban,5,3,2,1,2,1,1,2,2,1
RGB,1,3,2,7,6,5,5,2,3,10
RPG,0,0,0,1,3,0,4,0,1,3
SDT,0,3,4,4,6,5,4,0,5,8
Shot,0,2,7,0,0,0,0,0,0,10
SK증권,1,5,1,7,4,2,4,0,4,7
SK하이닉스,0,2,1,0,0,3,0,0,2,0
Slider,1,0,0,0,1,1,1,0,0,1
Sources,1,0,0,0,1,1,1,0,0,1
Start,1,0,0,0,1,1,1,0,0,1
SUV,0,1,2,0,3,0,1,3,1,2
TFT,0,1,2,2,2,2,2,2,4,3
TGS,0,0,2,2,3,1,5,0,1,4
that,2,0,0,1,0,0,0,1,0,1
the,2,0,0,1,0,0,0,1,0,1
to,2,0,0,1,0,0,0,1,0,1
VIP,0,0,0,0,1,2,0,0,0,0
VR헤드셋,4,2,2,1,1,1,1,1,1,1
