term,cur,prev,diff,total,ma7,z_like
기아,12,0,12,32,2.0,4.142
선익시스템,9,0,9,43,3.857,1.735
게이밍모니터,3,0,3,11,0.429,1.554
벤큐,3,0,3,8,0.571,1.383
tcl,3,0,3,32,1.143,0.898
tsmc,3,0,3,16,1.286,0.803
sharp,3,0,3,25,1.429,0.716
엔비디아,4,3,1,88,2.286,0.682
모니터,4,0,4,105,2.286,0.682
증착기,1,0,1,1,0.143,0.622
fhd,1,0,1,3,0.143,0.622
ar,2,1,1,45,0.857,0.593
스마트폰,6,2,4,106,4.286,0.558
dell,1,0,1,7,0.429,0.345
amd,1,0,1,9,0.429,0.345
lcd,1,0,1,15,0.429,0.345
bmw,1,0,1,16,0.429,0.345
인텔,3,2,1,38,2.286,0.284
xr,3,2,1,128,2.286,0.284
레노버,1,0,1,42,0.857,0.074
lg디스플레이,1,0,1,99,1.571,-0.254
sk하이닉스,3,2,1,141,6.857,-1.066
