term,cur,prev,diff,ma7,z_like,total
애플,29,9,20,9.571,4.746,203
맥북,15,4,11,2.714,4.64,30
퀄컴,9,0,9,1.429,3.449,30
올레드,5,0,5,1.0,2.0,16
아이폰,8,4,4,2.714,1.996,58
tv,15,8,7,8.286,1.731,149
폴더블,4,2,2,1.286,1.272,56
필립스,2,0,2,0.286,1.117,4
bmw,2,1,1,0.429,0.95,9
노트북,7,4,3,4.429,0.828,55
boe,2,1,1,0.571,0.814,16
삼성전자,24,21,3,20.286,0.675,488
fhd,1,0,1,0.143,0.622,1
mbux,1,0,1,0.143,0.622,1
샤오펑,1,0,1,0.143,0.622,1
알파벳,1,0,1,0.143,0.622,2
올레드tv,1,0,1,0.143,0.622,1
터치id,1,0,1,0.143,0.622,1
한미반도체,1,0,1,0.143,0.622,4
현대자동차,1,0,1,0.143,0.622,2
벤츠,1,0,1,0.286,0.465,6
스트레처블,1,0,1,0.286,0.465,2
저전력,1,1,0,0.286,0.465,2
디스플레이,6,5,1,4.571,0.455,112
sk하이닉스,2,0,2,1.143,0.414,41
uhd,1,1,0,0.571,0.244,4
ar,2,3,-1,1.714,0.124,27
갤럭시,1,1,0,1.0,0.0,65
oled,9,16,-7,9.286,-0.071,215
xr,1,1,0,1.286,-0.134,103
lg전자,7,4,3,7.857,-0.225,175
스마트폰,1,5,-4,1.857,-0.363,47
모니터,4,5,-1,5.429,-0.429,78
amd,1,0,1,2.429,-0.558,42
삼성디스플레이,1,3,-2,3.571,-0.89,35
lg디스플레이,1,2,-1,7.0,-1.646,83
엔비디아,3,7,-4,11.571,-1.947,138
