term,cur,prev,diff,total,ma7,z_like
tcl,15,0,15,65,2.714,4.64
etri,4,0,4,11,0.714,1.781
필립스,3,0,3,8,0.571,1.383
엔비디아,4,2,2,167,1.286,1.272
tsmc,2,0,2,11,0.286,1.117
amd,2,0,2,21,0.286,1.117
asus,2,0,2,25,0.286,1.117
qled,2,1,1,9,0.429,0.95
amoled,1,0,1,1,0.143,0.622
asp,1,0,1,1,0.143,0.622
세미파이브,1,0,1,1,0.143,0.622
iphone,1,0,1,2,0.143,0.622
고효율,1,0,1,2,0.143,0.622
ppi,1,0,1,3,0.143,0.622
픽셀,1,0,1,5,0.143,0.622
벤츠,1,0,1,23,0.143,0.622
퀄컴,1,0,1,47,0.143,0.622
구글,3,3,0,75,1.714,0.557
host,1,0,1,2,0.286,0.465
한미반도체,1,1,0,2,0.286,0.465
apple,1,0,1,6,0.286,0.465
선익시스템,1,1,0,16,0.429,0.345
맥북,1,1,0,30,0.429,0.345
갤럭시,5,3,2,102,4.0,0.333
인텔,1,0,1,41,1.0,0.0
sk하이닉스,5,2,3,88,5.286,-0.087
기아,2,1,1,45,2.429,-0.168
