cluster_id,keywords
0,"가격, 할인, 비용"
1,"미국, 노조, 전년, 시간, 변화"
2,"애플, 스마트폰, 중국, 구글, 갤럭시, 안드로이드, 아이폰"
3,이란
4,"반도체, 노트북, 모니터, 인텔"
5,"설계, 전환, 결과, 폴더블, 게임, 소재, 집중, 점유율, 생산, 정보, 제조, 매출, 현대차, 레이싱, 솔루션, 전기, 공간, 사용자, 패널, 영업, 문제, 관광, 흐름, 오픈, 경영, 보상, 최초, 그룹, 포함, 생태계, 업무, 대형, 환경, 처음, 신규, 없다, 이유, 충전, 효율, 많은, 체제, 실시간, 매장, 핵심, 분석, 라인, 마이크, 지원, 메모리, 닌텐도, 기업들"
6,"인프라, 서버, 플랫폼"
7,태국
