term,cur,prev,diff,ma7,z_like,total
vr,8,0,8,1.286,3.146,14
kaist,7,0,7,1.857,2.177,27
카카오,5,1,4,0.857,2.151,16
ar,6,3,3,1.429,2.082,32
ltpo,2,0,2,0.286,1.117,4
기아,5,0,5,1.286,1.741,30
고성능,2,0,2,0.429,0.95,11
lcd,2,0,2,0.429,0.95,18
소니,2,1,1,0.429,0.95,11
올레드,10,0,10,1.429,3.905,38
벤큐,5,0,5,0.714,2.323,11
고성능,6,0,6,1.286,2.209,17
tcl,3,0,3,0.714,1.239,26
boe,2,0,2,0.429,0.95,13
4k,4,1,3,0.857,1.632,17
레노버,3,1,2,0.714,1.239,37
증착기,2,0,2,0.286,1.117,6
선익시스템,2,0,2,0.286,1.117,9
파나소닉,5,0,5,0.714,2.323,5
8k,2,0,2,0.286,1.117,4
