term,cur,prev,diff,ma7,z_like,total,date
삼성전자,52,29,23,25.143,4.466,655,2026-05-08
vr,8,0,8,1.286,3.146,14,2026-05-08
엔비디아,9,4,5,2.714,2.374,97,2026-05-08
kaist,7,0,7,1.857,2.177,27,2026-05-08
카카오,5,1,4,0.857,2.151,16,2026-05-08
ar,6,3,3,1.429,2.082,32,2026-05-08
공급망,4,1,3,1.143,1.381,50,2026-05-08
폴더블,4,3,1,1.286,1.272,144,2026-05-08
ltpo,2,0,2,0.286,1.117,4,2026-05-08
아이폰,4,1,3,1.571,1.078,97,2026-05-08
hp,3,1,2,1.286,0.803,70,2026-05-08
고효율,1,0,1,0.143,0.622,9,2026-05-08
미디어텍,1,0,1,0.143,0.622,1,2026-05-08
소니,1,0,1,0.143,0.622,10,2026-05-08
저전력,1,0,1,0.143,0.622,1,2026-05-08
픽셀,1,0,1,0.143,0.622,3,2026-05-08
모바일,2,3,-1,0.857,0.593,35,2026-05-08
xr,6,8,-2,4.429,0.506,137,2026-05-08
sharp,1,1,0,0.286,0.465,5,2026-05-08
삼성디스플레이,5,11,-6,3.714,0.439,113,2026-05-08
boe,1,0,1,0.571,0.244,13,2026-05-08
모니터,2,2,0,1.571,0.19,80,2026-05-08
갤럭시,3,1,2,2.571,0.165,74,2026-05-08
lg전자,7,7,0,6.857,0.039,217,2026-05-08
tsmc,1,4,-3,1.0,0.0,25,2026-05-08
태블릿,1,1,0,1.143,-0.069,21,2026-05-08
애플,8,8,0,8.429,-0.11,254,2026-05-08
구글,1,0,1,1.286,-0.134,48,2026-05-08
스마트폰,1,3,-2,1.286,-0.134,105,2026-05-08
amd,1,4,-3,1.286,-0.134,17,2026-05-08
인텔,1,1,0,1.429,-0.195,43,2026-05-08
디스플레이,4,13,-9,6.0,-0.58,261,2026-05-08
tv,15,26,-11,18.571,-0.673,470,2026-05-08
노트북,3,7,-4,5.571,-0.765,154,2026-05-08
lg디스플레이,1,2,-1,3.143,-0.773,134,2026-05-08
oled,4,23,-19,13.0,-1.954,402,2026-05-08
기아,5,0,5,1.286,1.741,30,2026-05-09
공급망,5,4,1,1.857,1.33,51,2026-05-09
애플,13,8,5,8.143,1.26,247,2026-05-09
lcd,2,0,2,0.429,0.95,18,2026-05-09
고성능,2,0,2,0.429,0.95,11,2026-05-09
소니,2,1,1,0.429,0.95,11,2026-05-09
asus,2,0,2,0.571,0.814,16,2026-05-09
tcl,2,0,2,0.714,0.697,38,2026-05-09
proart,1,0,1,0.143,0.622,1,2026-05-09
사이니지,1,0,1,0.143,0.622,5,2026-05-09
아이맥,1,0,1,0.143,0.622,1,2026-05-09
증착,1,0,1,0.143,0.622,4,2026-05-09
하이센스,1,0,1,0.143,0.622,7,2026-05-09
인텔,3,1,2,1.857,0.484,44,2026-05-09
lg화학,1,0,1,0.286,0.465,9,2026-05-09
벤츠,1,0,1,0.286,0.465,53,2026-05-09
아마존,1,0,1,0.286,0.465,16,2026-05-09
화웨이,1,0,1,0.429,0.345,31,2026-05-09
sharp,1,1,0,0.429,0.345,6,2026-05-09
스마트폰,2,1,1,1.429,0.26,100,2026-05-09
