term,cur,prev,diff,ma7,z_like,total
tsmc,3,0,3,0.714,1.239,11
사이니지,8,0,8,1.143,3.314,9
딥엑스,2,0,2,0.286,1.117,2
kaist,2,0,2,0.286,1.117,21
양산,13,2,11,2.429,4.132,40
퀄컴,7,0,7,1.143,2.831,20
amd,6,1,5,1.143,2.348,26
메타,4,0,4,0.571,1.953,16
auo,2,0,2,0.286,1.117,2
파나소닉,2,0,2,0.286,1.117,3
벤큐,2,0,2,0.286,1.117,16
고휘도,2,0,2,0.429,0.95,4
qled,6,0,6,0.857,2.67,19
고성능,4,0,4,0.571,1.953,14
nvidia,3,0,3,0.429,1.554,6
맥북,2,0,2,0.429,0.95,18
태블릿,7,0,7,1.286,2.678,18
올레드,3,1,2,0.571,1.383,10
vr,5,0,5,1.0,2.0,19
서피스,3,0,3,0.571,1.383,4
