org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
-OLED,6,1,5,3,3,5,3,5,1,2,2,2,2,2
.addClass,1,0,0,0,1,1,0,1,0,0,1,0,6,2
.attr,1,0,0,0,1,1,0,1,0,0,1,0,6,2
.cssClip,1,0,0,0,1,1,0,1,0,0,1,0,6,2
.html,1,0,0,0,1,1,0,1,0,0,1,0,6,2
.length,1,0,0,0,1,1,0,1,0,0,1,0,6,2
0.03ms,6,5,4,2,2,3,1,3,2,1,1,3,5,9
000m2,4,2,3,4,3,5,5,4,1,3,3,2,4,2
100대,2,0,1,0,0,0,0,0,1,1,1,1,1,1
10년간,3,2,4,5,3,5,6,5,1,4,4,1,2,1
10단계,0,1,0,3,4,6,0,2,0,3,4,1,3,1
11만5000원으로,1,1,2,1,4,3,3,3,1,0,3,2,2,1
13개,1,0,2,2,2,0,1,3,2,0,12,2,4,0
13개사,1,0,1,1,1,0,0,1,0,0,6,1,2,0
152번,1,0,1,1,2,1,0,1,0,2,1,1,0,0
17골,4,0,1,2,2,3,0,1,0,1,3,0,2,0
1루수,1,0,1,0,0,1,0,0,1,0,1,0,3,0
1분기부터,4,3,4,5,2,2,3,8,1,2,0,3,1,2
200만,5,3,3,4,4,3,2,3,2,2,3,2,2,4
2030년에는,5,5,3,3,3,4,3,6,1,0,1,5,3,2
20만명,1,1,0,1,2,2,1,1,5,0,1,1,1,2
24GB,1,5,2,3,3,2,4,3,3,0,0,2,2,5
2560x1440,6,5,4,2,2,3,1,3,2,1,1,3,5,9
2nd,0,0,0,0,1,2,0,0,0,1,0,0,2,1
2o,1,1,1,1,1,1,1,1,0,0,0,0,1,2
2단계,0,1,0,3,4,6,0,2,0,3,4,1,3,1
2루수,1,0,1,0,0,1,0,0,1,0,1,0,3,0
2세에,2,2,1,0,2,1,2,3,0,0,4,1,4,0
2차전지,5,2,6,5,2,4,2,4,1,6,3,3,2,2
300은,1,2,1,2,1,1,4,3,0,1,1,8,0,0
3539억원,3,0,2,6,3,7,5,3,2,7,6,1,3,1
3루수,1,0,1,0,0,1,0,0,1,0,1,0,3,0
3분기에,5,2,4,6,3,7,6,5,1,4,3,3,3,1
3열,4,5,5,6,2,6,5,4,3,2,3,4,1,7
3위를,2,0,1,0,0,0,0,0,1,1,1,1,1,1
455QA,2,6,5,4,3,2,6,2,2,1,0,2,3,3
455QA는,2,5,5,4,2,4,7,3,1,0,0,2,2,1
48GB,1,5,2,3,3,2,4,3,3,0,0,2,2,5
4K,4,5,4,4,4,4,6,3,2,2,0,1,3,11
5000D,1,5,2,3,3,2,4,3,3,0,0,2,2,5
500니트,1,0,3,1,0,0,0,1,0,0,0,0,0,0
50만원으로,1,1,2,1,4,3,3,3,1,0,3,2,2,1
5는,4,5,5,6,2,6,5,4,3,2,3,4,1,7
5위를,2,0,1,0,0,0,0,0,1,1,1,1,1,1
6위로,2,0,1,0,0,0,0,0,1,1,1,1,1,1
700명의,1,0,0,1,0,1,0,0,0,1,1,0,0,0
7개월,1,1,0,1,2,2,1,1,5,0,1,1,1,2
8.6G,5,2,10,5,3,3,2,3,1,3,1,1,2,1
8.6세대,15,8,25,12,9,12,8,8,2,7,4,3,6,3
8골,4,0,1,2,2,3,0,1,0,1,3,0,2,0
8세대급,12,4,20,6,4,5,5,4,0,4,2,2,5,2
