term,cur,prev,diff,total,ma7,z_like
레노버,15,0,15,88,4.714,3.243
소니,5,0,5,7,0.714,2.323
qled,4,0,4,9,0.571,1.953
노트북,5,0,5,89,2.0,1.243
파나소닉,2,0,2,2,0.286,1.117
tsmc,3,0,3,15,0.857,1.113
아이폰,4,1,3,81,2.0,0.828
ar,4,1,3,43,2.143,0.754
엔비디아,3,0,3,143,1.571,0.634
씽크패드,1,0,1,1,0.143,0.622
lcd,2,2,0,22,1.0,0.5
오포,1,0,1,4,0.286,0.465
아마존,1,0,1,7,0.286,0.465
공급망,2,1,1,30,1.286,0.335
bmw,1,1,0,20,0.714,0.155
아이패드,1,0,1,10,0.857,0.074
sk하이닉스,2,2,0,43,2.0,0.0
올레드,1,1,0,39,1.0,0.0
선익시스템,1,1,0,11,1.143,-0.069
모니터,3,1,2,89,3.571,-0.198
삼성디스플레이,2,1,1,125,4.286,-0.744
