org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
10년,1,2,1,3,4,2,2,1
10월,3,8,0,5,7,7,3,2
120Hz,0,2,0,0,1,0,0,0
14개,1,1,0,0,2,0,1,0
1년,1,1,0,0,2,0,1,0
1만명,0,1,0,0,1,2,0,0
1순위,0,1,0,0,1,2,0,0
1위,0,1,0,0,0,1,0,1
1인,1,0,0,1,0,0,0,2
1차,0,0,0,0,0,1,0,2
2022년,4,3,0,2,2,3,2,3
2023년,1,2,1,3,4,2,2,1
2030년에,1,3,0,5,2,2,1,4
240Hz,1,2,0,1,2,0,1,2
27GX704A-B,1,2,0,1,2,0,1,2
27인치,1,2,0,1,2,0,1,2
2가지,2,3,1,2,2,2,0,2
2경기,0,0,0,0,0,1,1,0
2위,0,1,0,0,0,2,2,2
3D,2,1,3,1,0,3,5,1
3분기,1,7,0,6,10,5,0,6
400W,1,0,0,0,0,2,2,2
4위,0,0,0,0,0,1,1,0
500니트,0,2,0,0,1,0,0,0
52주,1,1,0,0,2,0,1,0
5일부터,0,1,0,1,1,0,1,0
7은,0,1,1,3,2,0,2,0
8.6G,2,8,6,6,13,8,7,3
8.6세대,4,14,9,10,29,16,12,9
84m2A,0,1,0,0,1,1,0,0
8일까지입니다.,0,1,0,1,1,0,1,0
99m2A,0,1,0,0,1,1,0,0
9월,0,1,0,0,0,1,0,1
advertisement,4,3,0,2,2,3,2,3
AHC,0,0,0,0,0,1,2,1
AI,29,6,11,10,4,28,22,13
AI알고리즘들,2,2,1,1,3,1,3,0
an,2,1,0,1,1,1,1,0
and,6,1,0,3,1,3,3,0
APEC,1,0,0,1,0,3,3,0
AP시스템,1,12,6,3,12,10,8,0
AR,17,6,8,11,6,13,10,5
AR스마트글래스,4,1,2,2,1,4,2,3
at,2,0,0,1,0,1,1,0
Beats,2,0,1,0,0,2,1,0
BEMS,0,1,1,0,0,1,1,1
Biopharma,2,1,0,1,1,1,1,0
BOE,1,8,10,6,8,6,6,3
by,2,0,0,1,0,1,1,0
BYD,0,3,5,4,4,0,3,0
BYD코리아,0,1,1,3,2,0,2,0
CB,3,1,4,1,2,5,5,0
CEO,1,0,0,1,0,3,3,0
CEO들,1,0,0,1,0,3,3,0
CEO에,0,0,0,0,0,1,2,1
chips,2,0,0,1,0,1,1,0
CJ그룹,0,4,1,2,4,2,2,2
CLENOX,0,0,4,8,0,2,0,17
CNS,1,1,2,0,2,4,2,0
cooling,2,0,0,1,0,1,1,0
Copyright,0,1,0,0,1,2,0,0
Corintis,2,0,0,1,0,1,1,0
CTO,0,4,1,2,4,2,2,2
DB하이텍,3,1,3,4,1,4,5,1
D램,0,0,0,0,0,2,1,0
E-ONG,1,4,10,4,4,4,4,0
ELA,1,12,6,3,12,10,8,0
EMI,2,3,5,0,2,5,2,3
End,1,1,0,0,2,0,1,0
for,4,0,0,2,0,2,2,0
Glossy,1,2,0,1,2,0,1,2
group,2,0,0,1,0,1,1,0
has,2,1,0,1,1,1,1,0
Healing,2,0,1,0,0,2,1,0
HVAC,0,1,1,0,0,1,1,1
IFA,3,1,4,1,2,5,5,0
in,6,1,0,3,1,3,3,0
In,2,1,0,1,1,1,1,0
is,2,0,0,1,0,1,1,0
IT,7,9,3,7,17,9,6,9
its,2,1,0,1,1,1,1,0
IT용,1,2,0,2,5,1,0,2
JDM,1,1,3,2,1,3,1,2
KBO,0,1,0,0,0,1,0,1
Keeps,2,1,0,1,1,1,1,0
Korean,2,0,0,1,0,1,1,0
KT,0,1,0,0,0,1,0,1
Laser,1,4,2,1,4,4,3,0
LCD,0,2,1,1,3,0,2,1
LED,6,5,2,18,4,9,4,12
LFD,0,3,0,2,2,2,0,0
LG,2,4,2,1,4,5,3,3
LG디스플레,7,23,11,17,41,20,18,15
LG디스플레이,5,13,6,12,24,11,10,9
LG디스플레이에,1,3,0,2,3,2,0,3
LG생활건강,0,0,0,0,0,2,4,2
LG전자,4,7,5,4,5,8,4,8
LLO,0,4,2,1,4,3,3,0
LTOM,3,10,24,9,10,8,8,0
LTPO,0,6,2,2,3,2,1,2
LTPS,0,4,2,2,2,2,1,2
Micro-LED,6,5,2,15,4,9,4,12
MMCA,0,2,0,2,2,0,2,0
NB,0,0,2,4,0,0,0,9
of,6,1,0,3,1,3,3,0
OGF,3,1,2,0,1,2,1,2
