term,cur,prev,diff,total,ma7,z_like
oled,24,29,-5,325,11.143,2.964
삼성전자,17,12,5,393,14.429,0.536
모니터,14,18,-4,135,8.857,1.293
폴더블,8,17,-9,213,8.429,-0.11
애플,7,19,-12,311,13.0,-1.303
엔비디아,6,17,-11,137,7.714,-0.454
lg전자,6,22,-16,305,10.286,-1.019
삼성디스플레이,5,7,-2,54,4.143,0.282
kaist,4,0,4,26,1.0,1.5
갤럭시,4,2,2,131,3.429,0.2
디스플레이,4,15,-11,170,6.286,-0.652
lg디스플레이,3,3,0,100,1.714,0.557
아이폰,3,12,-9,109,6.143,-0.904
양산,2,1,1,71,1.143,0.414
레노버,2,2,0,62,2.0,0.0
마이크로소프트,1,0,1,10,0.143,0.622
주사율,1,1,0,3,0.286,0.465
태블릿,1,1,0,10,0.429,0.345
lcd,1,2,-1,35,0.714,0.155
vr,1,0,1,17,0.857,0.074
asus,1,0,1,20,1.143,-0.069
fhd,1,10,-9,14,1.571,-0.254
xr,1,3,-2,67,2.429,-0.558
스마트폰,1,2,-1,99,2.857,-0.69
tv,1,4,-3,209,5.286,-1.299
