term,cur,prev,diff,total,ma7,z_like
lg전자,19,7,12,258,7.571,3.046
삼성전자,15,22,-7,705,17.0,-0.39
디스플레이,8,9,-1,197,4.143,1.271
구글,6,3,3,124,3.0,1.098
스마트폰,6,3,3,95,4.0,0.667
lg디스플레이,5,1,4,65,1.429,1.627
tv,5,7,-2,338,8.857,-0.97
노트북,4,6,-2,130,3.143,0.309
oled,4,33,-29,294,8.429,-1.135
amd,3,0,3,22,1.143,0.898
삼성디스플레이,3,14,-11,54,2.571,0.165
벤츠,2,1,1,10,0.571,0.814
샤오미,2,0,2,8,0.571,0.814
모바일,2,0,2,36,1.0,0.5
boe,2,1,1,23,1.286,0.335
맥북,2,1,1,17,1.429,0.26
sk하이닉스,2,5,-3,40,1.857,0.06
엔비디아,2,1,1,103,2.143,-0.058
xr,2,4,-2,98,3.143,-0.412
애플,2,3,-1,190,5.286,-0.996
태블릿,1,0,1,16,0.143,0.622
asus,1,0,1,9,0.143,0.622
서피스,1,0,1,6,0.143,0.622
tianma,1,0,1,1,0.143,0.622
xiaomi,1,0,1,1,0.143,0.622
원익ips,1,0,1,2,0.286,0.465
sk온,1,1,0,4,0.429,0.345
인텔,1,1,0,47,0.571,0.244
카카오,1,1,0,21,0.571,0.244
tsmc,1,0,1,18,0.571,0.244
ar,1,0,1,28,0.714,0.155
화웨이,1,0,1,12,0.714,0.155
아이폰,1,2,-1,37,1.0,0.0
양산,1,1,0,20,1.0,0.0
기아,1,0,1,28,1.286,-0.134
수율,1,1,0,10,1.286,-0.134
폴더블,1,5,-4,58,1.714,-0.309
갤럭시,1,4,-3,69,2.286,-0.512
레노버,1,13,-12,49,2.857,-0.69
올레드,1,2,-1,52,3.429,-0.852
hp,1,4,-3,81,4.429,-1.104
