term,cur,prev,diff,total,ma7,z_like
lg디스플레이,5,1,4,65,1.429,1.627
구글,6,3,3,124,3.0,1.098
amd,3,0,3,22,1.143,0.898
샤오미,2,0,2,8,0.571,0.814
벤츠,2,1,1,10,0.571,0.814
스마트폰,6,3,3,95,4.0,0.667
tianma,1,0,1,1,0.143,0.622
xiaomi,1,0,1,1,0.143,0.622
서피스,1,0,1,6,0.143,0.622
asus,1,0,1,9,0.143,0.622
태블릿,1,0,1,16,0.143,0.622
모바일,2,0,2,36,1.0,0.5
원익ips,1,0,1,2,0.286,0.465
sk온,1,1,0,4,0.429,0.345
boe,2,1,1,23,1.286,0.335
맥북,2,1,1,17,1.429,0.26
tsmc,1,0,1,18,0.571,0.244
카카오,1,1,0,21,0.571,0.244
인텔,1,1,0,47,0.571,0.244
화웨이,1,0,1,12,0.714,0.155
ar,1,0,1,28,0.714,0.155
양산,1,1,0,20,1.0,0.0
엔비디아,2,1,1,103,2.143,-0.058
수율,1,1,0,10,1.286,-0.134
기아,1,0,1,28,1.286,-0.134
