term,cur,diff,z_like
tv,67,60,10.81
oled,43,30,6.57
소니,16,16,5.46
모니터,16,15,3.82
tcl,11,10,3.59
삼성전자,19,9,2.76
갤럭시,8,7,2.49
lg전자,19,17,2.03
스마트폰,8,4,1.83
