term,cur,prev,diff,ma7,z_like,total
고효율,2,0,2,0.429,0.95,14
기아,1,0,1,0.143,0.622,18
xr,3,2,1,1.857,0.484,64
선익시스템,1,0,1,0.286,0.465,21
설비투자,1,0,1,0.286,0.465,5
증착,1,0,1,0.286,0.465,2
vr,1,1,0,0.286,0.465,20
아마존,1,0,1,0.429,0.345,11
원익ips,1,1,0,0.429,0.345,6
byd,1,0,1,0.571,0.244,15
갤럭시,3,0,3,2.429,0.223,76
sk하이닉스,3,2,1,2.571,0.165,63
맥북,1,0,1,0.857,0.074,20
boe,1,1,0,0.857,0.074,28
스마트폰,2,4,-2,2.0,0.0,82
ar,1,0,1,1.429,-0.195,41
lg전자,4,1,3,5.143,-0.35,231
애플,4,5,-1,5.429,-0.429,150
노트북,2,1,1,3.286,-0.457,113
tv,4,3,1,5.571,-0.468,362
아이폰,1,3,-2,2.429,-0.558,65
삼성디스플레이,1,0,1,2.571,-0.604,57
폴더블,1,1,0,2.857,-0.69,53
삼성전자,6,4,2,9.429,-0.842,398
디스플레이,1,2,-1,5.0,-1.236,181
oled,2,4,-2,9.143,-1.775,283
