term,cur,prev,diff,ma7,z_like,total
oled,56,2,54,11.857,9.934,392
lg디스플레이,17,0,17,3.571,4.647,134
삼성디스플레이,9,0,9,1.714,3.155,97
인텔,7,1,6,1.714,2.289,44
디스플레이,14,7,7,8.0,1.567,257
퀄컴,3,0,3,0.714,1.239,17
sk하이닉스,3,0,3,0.857,1.113,80
애플,12,4,8,8.0,1.045,260
amd,2,1,1,0.571,0.814,12
고휘도,1,0,1,0.143,0.622,1
스트레처블,1,0,1,0.143,0.622,1
xr,5,8,-3,3.286,0.609,127
맥북,1,0,1,0.286,0.465,13
tsmc,1,1,0,0.286,0.465,20
알파벳,1,0,1,0.571,0.244,6
양산,1,1,0,0.571,0.244,49
아이폰,2,0,2,1.571,0.19,110
kaist,1,4,-3,0.857,0.074,21
공급망,1,1,0,1.0,0.0,47
스마트폰,1,3,-2,1.429,-0.195,112
노트북,4,15,-11,4.857,-0.268,168
hp,1,3,-2,1.714,-0.309,67
엔비디아,1,1,0,1.857,-0.363,86
구글,1,2,-1,1.857,-0.363,50
갤럭시,2,3,-1,3.143,-0.412,76
tv,13,32,-19,15.571,-0.52,443
lg전자,5,9,-4,8.429,-0.878,250
삼성전자,12,36,-24,26.571,-2.368,620
