term,cur,prev,diff,ma7,z_like,total
노트북,19,4,15,5.0,4.326,133
레노버,16,1,15,3.571,4.301,78
양산,9,0,9,1.714,3.155,71
lg전자,8,3,5,3.0,1.83,225
oled,13,1,12,7.286,1.545,299
디스플레이,10,2,8,5.143,1.486,209
고성능,4,0,4,1.286,1.272,22
아이폰,5,0,5,2.571,0.933,118
삼성전자,19,13,6,15.571,0.693,535
bmw,1,0,1,0.143,0.622,15
byd,1,0,1,0.143,0.622,6
sony,1,0,1,0.143,0.622,1
리벨리온,1,0,1,0.143,0.622,3
수율,1,0,1,0.143,0.622,5
아이패드,1,0,1,0.143,0.622,12
태블릿,1,0,1,0.143,0.622,22
공급망,1,0,1,0.286,0.465,35
선익시스템,1,0,1,0.286,0.465,17
알파벳,1,0,1,0.286,0.465,7
boe,1,0,1,0.429,0.345,17
샤오미,1,0,1,0.429,0.345,14
모바일,2,2,0,1.286,0.335,60
카카오,1,0,1,0.571,0.244,11
vr,1,0,1,0.714,0.155,55
tv,7,4,3,6.571,0.12,346
메타,1,0,1,1.0,0.0,26
폴더블,3,2,1,3.143,-0.052,118
스마트폰,3,1,2,3.571,-0.198,96
sk하이닉스,1,1,0,1.571,-0.254,69
애플,7,3,4,8.429,-0.366,257
tcl,2,1,1,3.143,-0.412,56
ar,1,2,-1,2.0,-0.414,49
lg화학,1,0,1,2.143,-0.464,40
소니,1,0,1,2.714,-0.648,34
기아,2,11,-9,4.0,-0.667,46
xr,1,0,1,3.143,-0.773,110
갤럭시,2,3,-1,4.714,-0.856,102
구글,1,1,0,4.286,-1.07,81
모니터,3,1,2,8.143,-1.335,189
