term,cur,diff,z_like
lg디스플레이,18,17,3.62
모바일,10,8,3.07
디스플레이,18,4,3.02
삼성디스플레이,14,13,2.64
tcl,7,7,2.18
vr,9,2,1.88
oled,20,6,1.63
