term,cur,prev,diff,total,ma7,z_like
기아,5,0,5,30,1.286,1.741
고성능,2,0,2,11,0.429,0.95
소니,2,1,1,11,0.429,0.95
lcd,2,0,2,18,0.429,0.95
asus,2,0,2,16,0.571,0.814
tcl,2,0,2,38,0.714,0.697
proart,1,0,1,1,0.143,0.622
아이맥,1,0,1,1,0.143,0.622
증착,1,0,1,4,0.143,0.622
사이니지,1,0,1,5,0.143,0.622
하이센스,1,0,1,7,0.143,0.622
인텔,3,1,2,44,1.857,0.484
lg화학,1,0,1,9,0.286,0.465
아마존,1,0,1,16,0.286,0.465
벤츠,1,0,1,53,0.286,0.465
sharp,1,1,0,6,0.429,0.345
화웨이,1,0,1,31,0.429,0.345
스마트폰,2,1,1,100,1.429,0.26
byd,1,0,1,13,0.571,0.244
퀄컴,1,0,1,18,0.571,0.244
구글,1,1,0,49,1.286,-0.134
amd,1,1,0,18,1.429,-0.195
lg디스플레이,2,1,1,117,3.429,-0.501
