term,cur,prev,diff,ma7,z_like,total
oled,22,8,14,11.143,2.503,486
고효율,5,0,5,0.714,2.323,9
모니터,7,3,4,2.571,1.701,137
노트북,10,9,1,5.0,1.545,154
byd,2,0,2,0.286,1.117,6
아마존,2,0,2,0.429,0.95,9
하이센스,2,1,1,0.429,0.95,26
엔비디아,3,2,1,1.143,0.898,83
올레드,2,0,2,0.714,0.697,39
lcd,1,0,1,0.143,0.622,28
갤럭시탭,1,0,1,0.143,0.622,1
알파벳,1,0,1,0.143,0.622,15
애플워치,1,0,1,0.143,0.622,1
ar,3,1,2,1.714,0.557,35
현대모비스,3,0,3,1.857,0.484,35
amd,1,1,0,0.429,0.345,30
csot,1,1,0,0.429,0.345,5
인텔,2,0,2,1.286,0.335,56
sk하이닉스,2,2,0,1.286,0.335,51
메타,2,2,0,1.286,0.335,26
아이폰,3,1,2,2.286,0.284,62
디스플레이,7,10,-3,6.571,0.12,260
lg디스플레이,2,4,-2,1.857,0.06,86
모바일,1,1,0,1.0,0.0,53
스마트폰,4,5,-1,4.0,0.0,103
갤럭시,3,8,-5,3.0,0.0,86
xr,2,0,2,2.143,-0.058,48
구글,1,2,-1,1.429,-0.195,59
삼성전자,11,28,-17,12.143,-0.255,427
애플,4,8,-4,5.714,-0.506,166
사이니지,1,4,-3,2.286,-0.512,17
tcl,5,22,-17,10.0,-1.201,117
lg전자,2,7,-5,7.286,-1.429,328
tv,13,37,-24,21.0,-1.433,454
소니,1,4,-3,8.143,-1.854,81
