org,topic_0,topic_1,topic_101,topic_102,topic_11,topic_12,topic_13,topic_14,topic_17,topic_18,topic_19,topic_2,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_32,topic_33,topic_35,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_49,topic_5,topic_50,topic_51,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_61,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_7,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_88,topic_89,topic_9,topic_90,topic_92,topic_93,topic_94,topic_96,topic_97,topic_98,topic_99
HP,140.71 (1%),113.52 (1%),,,81.69 (1%),,,,148.93 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.74 (1%),,,,,,,,,,,,,,,,78.78 (1%),,,94.23 (3%),,,76.84 (1%),,,,,,,,,,,,,,,,,,,,,,,,
Harman,31.19 (0%),24.28 (0%),,19.99 (0%),25.14 (0%),39.57 (0%),,,,,,,,,,,,,,,,,,,,,25.90 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.02 (2%),,,,,,,,,,18.99 (0%),,,,,,,,
IEC,36.74 (0%),,,,30.02 (0%),,,,,,,,,44.65 (1%),,,,,37.01 (0%),,,29.50 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,31.65 (1%),,,,,,,35.17 (0%),,,,,,,,,,39.39 (0%),,,,,,,,,,,,,,,,,,,,
IEEE,8.32 (0%),,,,6.28 (0%),,,,,,,,5.76 (0%),5.67 (0%),,,,,4.89 (0%),,,,,,,,,,5.51 (0%),,,,,,,,4.35 (0%),,,,,,,,,,,,4.32 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMID,51.29 (0%),47.12 (0%),,,34.21 (0%),,28.27 (0%),,,,,,,,,,,,,,37.69 (1%),,,,,,,,,,,,,,,,,,,30.15 (0%),,,,,,,,,,,,,,,,32.36 (0%),,,,,,44.94 (1%),,,,,,,,,,,,,,,,,,,,,,,,
ITU,36.74 (0%),22.85 (0%),,,19.55 (0%),,,,,,,,,,,,,,,,,41.01 (0%),,,,,,,17.89 (0%),,,,,,,,,,,,,,,,,,,,42.44 (1%),,,,,,,21.10 (0%),,,,,,,,,,21.10 (0%),,,,,,,,,,,,,,,,,,,,
Innolux,40.90 (0%),39.98 (0%),,,30.02 (0%),,19.57 (0%),,,,,,,,,,,,21.65 (0%),,,29.50 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10 (0%),,,,,,20.30 (0%),,,,,,,,,,,,,,,,,,,,,,,,
IoT,258.54 (1%),,,,222.04 (2%),,,,,,,,,180.71 (3%),,,,,197.60 (2%),,,182.73 (2%),,,,,,,166.53 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.10 (3%),,,,,,,,,,,,186.40 (2%),,,,,,,,
JDI,47.83 (0%),50.69 (0%),,,,,,,,,,,,,,,,,,,,,,,,27.48 (0%),52.52 (1%),,,,,,,,,,,,,39.95 (1%),,,,,,,,,,,,,,,56.83 (1%),,,,,,,27.55 (0%),,,,,,,,,,,,,,,,,,,27.45 (1%),,,,,
KAIST,80.41 (0%),,,,79.60 (1%),,,,,,,,51.80 (1%),,,,,,78.90 (1%),,,,,,,,,,48.86 (1%),,,,,,,,36.24 (1%),,,,,,,,,,,,,,,,,,,53.46 (1%),,,,,,,,,,,,,,,,,,,,,,57.68 (1%),,,,,,,,
