term,cur,prev,diff,total,ma7,z_like
삼성,7,19,-12,491,22.0,-2.636
lg,6,6,0,346,13.571,-1.616
애플,5,24,-19,155,10.571,-1.311
삼성전자,3,17,-14,268,21.571,-3.29
메타,2,0,2,11,0.429,0.95
sk하이닉스,2,2,0,34,1.286,0.335
ar,2,2,0,39,1.857,0.06
폴더블,2,3,-1,54,3.857,-0.627
갤럭시,2,2,0,51,4.143,-0.706
lg전자,2,0,2,105,8.571,-1.673
아마존,1,0,1,3,0.143,0.622
엔비디아,1,0,1,10,0.286,0.465
bmw,1,0,1,3,0.286,0.465
인텔,1,0,1,9,0.429,0.345
양산,1,0,1,24,0.571,0.244
비전프로,1,0,1,8,0.714,0.155
현대모비스,1,0,1,26,0.857,0.074
구글,1,0,1,24,1.143,-0.069
tsmc,1,1,0,21,1.286,-0.134
차세대,1,3,-2,50,2.286,-0.512
아이패드,1,7,-6,26,2.857,-0.69
아이폰,1,5,-4,46,3.571,-0.89
oled,1,14,-13,187,9.429,-2.071
