term,cur,prev,diff,ma7,z_like,total
kaist,8,0,8,1.143,3.314,27
화웨이,3,1,2,0.714,1.239,11
카카오,11,0,11,1.714,4.021,19
증착,6,0,6,0.857,2.67,6
하이센스,4,0,4,0.571,1.953,8
vr,3,0,3,0.571,1.383,6
알파벳,2,0,2,0.429,0.95,17
kaist,7,0,7,2.286,1.877,23
맥북,4,0,4,0.857,1.632,14
메타,5,0,5,0.857,2.151,26
애플워치,4,0,4,0.571,1.953,5
올레드,3,0,3,0.571,1.383,12
asus,3,0,3,1.0,1.0,9
apple,2,0,2,0.429,0.95,5
소니,2,0,2,0.429,0.95,11
한화솔루션,10,0,10,1.571,3.74,12
vr,4,0,4,1.0,1.5,10
설비투자,4,0,4,0.714,1.781,7
boe,3,1,2,0.714,1.239,15
tsmc,3,1,2,0.714,1.239,23
픽셀,2,0,2,0.286,1.117,7
sharp,2,0,2,0.429,0.95,20
