term,cur,prev,diff,ma7,z_like,total,date
kaist,8,0,8,1.143,3.314,27,2026-08-07
갤럭시,12,3,9,6.429,1.576,299,2026-08-07
화웨이,3,1,2,0.714,1.239,11,2026-08-07
애플,10,8,2,5.857,1.211,274,2026-08-07
폴더블,8,7,1,4.571,1.093,210,2026-08-07
dell,1,0,1,0.143,0.622,8,2026-08-07
huawei,1,0,1,0.143,0.622,1,2026-08-07
intel,1,0,1,0.143,0.622,1,2026-08-07
그램,1,0,1,0.143,0.622,4,2026-08-07
boe,1,0,1,0.286,0.465,18,2026-08-07
메이트북,1,1,0,0.286,0.465,2,2026-08-07
xr,3,4,-1,2.0,0.414,85,2026-08-07
디스플레이,4,6,-2,3.0,0.366,278,2026-08-07
태블릿,1,2,-1,0.571,0.244,10,2026-08-07
asus,1,1,0,0.714,0.155,8,2026-08-07
oled,6,8,-2,5.857,0.042,367,2026-08-07
lg디스플레이,2,2,0,2.0,0.0,150,2026-08-07
hp,2,8,-6,2.143,-0.058,52,2026-08-07
스마트폰,3,0,3,3.286,-0.102,109,2026-08-07
구글,3,8,-5,3.286,-0.102,68,2026-08-07
삼성전자,6,8,-2,6.571,-0.16,330,2026-08-07
선익시스템,1,1,0,1.571,-0.254,38,2026-08-07
모니터,2,4,-2,2.714,-0.27,88,2026-08-07
엔비디아,1,4,-3,1.857,-0.363,92,2026-08-07
공급망,2,3,-1,3.429,-0.501,55,2026-08-07
ar,1,1,0,3.143,-0.773,50,2026-08-07
노트북,1,3,-2,3.857,-0.964,103,2026-08-07
lg전자,4,10,-6,8.0,-1.045,261,2026-08-07
선익시스템,14,1,13,2.286,4.664,52,2026-08-08
tv,21,0,21,5.857,4.428,139,2026-08-08
카카오,11,0,11,1.714,4.021,19,2026-08-08
sk하이닉스,13,0,13,4.0,3.0,139,2026-08-08
증착,6,0,6,0.857,2.67,6,2026-08-08
lg전자,20,4,16,9.714,2.498,272,2026-08-08
하이센스,4,0,4,0.571,1.953,8,2026-08-08
구글,11,3,8,4.857,1.917,77,2026-08-08
애플,14,10,4,7.143,1.867,276,2026-08-08
갤럭시,13,12,1,7.571,1.447,301,2026-08-08
vr,3,0,3,0.571,1.383,6,2026-08-08
삼성전자,10,6,4,6.429,1.01,312,2026-08-08
알파벳,2,0,2,0.429,0.95,17,2026-08-08
oled,9,6,3,6.143,0.821,371,2026-08-08
에어팟,2,0,2,0.571,0.814,4,2026-08-08
스마트폰,5,3,2,2.857,0.797,108,2026-08-08
삼성디스플레이,2,0,2,0.714,0.697,80,2026-08-08
아이폰,4,0,4,2.286,0.682,71,2026-08-08
게이밍모니터,1,0,1,0.143,0.622,5,2026-08-08
고해상도,1,0,1,0.143,0.622,2,2026-08-08
설비투자,1,0,1,0.143,0.622,4,2026-08-08
원익ips,1,0,1,0.143,0.622,2,2026-08-08
증착기,1,0,1,0.143,0.622,2,2026-08-08
lcd,2,0,2,0.857,0.593,20,2026-08-08
tsmc,1,0,1,0.286,0.465,23,2026-08-08
맥북,1,0,1,0.286,0.465,10,2026-08-08
메타,1,0,1,0.286,0.465,25,2026-08-08
올레드,1,0,1,0.286,0.465,9,2026-08-08
xr,3,3,0,2.0,0.414,84,2026-08-08
스마트워치,1,0,1,0.429,0.345,7,2026-08-08
폴더블,6,8,-2,5.0,0.309,203,2026-08-08
sharp,1,0,1,0.571,0.244,25,2026-08-08
샤오미,1,0,1,0.571,0.244,12,2026-08-08
bmw,1,0,1,0.714,0.155,16,2026-08-08
모니터,3,2,1,3.143,-0.052,87,2026-08-08
엔비디아,2,1,1,2.143,-0.058,91,2026-08-08
lg디스플레이,1,2,-1,1.286,-0.134,150,2026-08-08
kaist,1,8,-7,1.286,-0.134,16,2026-08-08
hp,2,2,0,2.429,-0.168,53,2026-08-08
공급망,3,2,1,3.714,-0.244,56,2026-08-08
디스플레이,2,4,-2,2.857,-0.319,253,2026-08-08
노트북,2,1,1,3.857,-0.627,103,2026-08-08
소니,1,0,1,0.286,0.465,10,2026-08-09
한화솔루션,1,0,1,0.286,0.465,2,2026-08-09
기아,1,0,1,0.429,0.345,35,2026-08-09
모바일,1,0,1,0.429,0.345,42,2026-08-09
lg디스플레이,2,1,1,1.429,0.26,138,2026-08-09
xr,2,3,-1,2.286,-0.114,77,2026-08-09
노트북,3,2,1,3.857,-0.289,102,2026-08-09
양산,1,0,1,1.857,-0.363,34,2026-08-09
카카오,1,11,-10,1.857,-0.363,20,2026-08-09
엔비디아,1,2,-1,2.0,-0.414,88,2026-08-09
공급망,1,3,-2,2.0,-0.414,54,2026-08-09
