term,cur,prev,diff,total,ma7,z_like
엔비디아,50,13,37,166,11.0,9.035
oled,37,3,34,335,18.571,3.471
삼성전자,23,6,17,600,14.286,1.823
양산,13,0,13,41,3.714,3.172
인텔,12,3,9,60,3.0,3.294
lg전자,11,3,8,262,10.714,0.067
tv,10,7,3,285,7.0,0.823
애플,8,2,6,165,3.286,1.676
공급망,6,2,4,55,1.857,1.753
노트북,6,4,2,131,4.429,0.506
삼성디스플레이,6,1,5,65,4.714,0.405
nvidia,5,1,4,17,0.857,2.151
디스플레이,5,3,2,187,7.714,-0.719
cvd,4,0,4,4,0.571,1.953
amd,4,1,3,35,2.286,0.682
xr,3,0,3,95,2.143,0.348
퀄컴,3,1,2,40,3.286,-0.102
byd,2,0,2,7,0.286,1.117
고해상도,2,0,2,4,0.286,1.117
qned,2,0,2,3,0.286,1.117
카카오,2,0,2,21,0.714,0.697
올레드,2,0,2,44,0.857,0.593
메타,2,0,2,25,0.857,0.593
갤럭시,2,1,1,61,1.714,0.124
sk하이닉스,2,0,2,43,1.857,0.06
폴더블,2,0,2,60,2.143,-0.058
해상도,1,0,1,6,0.143,0.622
두산로보틱스,1,0,1,2,0.143,0.622
시스코,1,0,1,2,0.143,0.622
fmm,1,0,1,1,0.143,0.622
intel,1,0,1,1,0.143,0.622
도우인시스,1,0,1,1,0.143,0.622
asus,1,0,1,8,0.286,0.465
서피스,1,0,1,7,0.286,0.465
노키아,1,1,0,4,0.286,0.465
기아,1,0,1,29,0.429,0.345
태블릿,1,0,1,17,0.429,0.345
화웨이,1,0,1,13,0.429,0.345
수율,1,0,1,11,0.429,0.345
현대모비스,1,0,1,10,0.429,0.345
맥북,1,0,1,15,0.571,0.244
bmw,1,0,1,11,0.571,0.244
벤츠,1,0,1,10,0.571,0.244
boe,1,0,1,20,0.714,0.155
hp,1,0,1,53,1.286,-0.134
아이폰,1,0,1,33,1.286,-0.134
tcl,1,4,-3,29,1.571,-0.254
구글,1,1,0,118,1.857,-0.363
스마트폰,1,2,-1,97,3.143,-0.773
4k,1,0,1,40,3.286,-0.813
lg디스플레이,1,0,1,76,3.571,-0.89
모니터,1,2,-1,171,6.714,-1.591
