term,cur,prev,diff,total,ma7,z_like
디스플레이,39,4,35,297,11.857,6.109
oled,24,1,23,359,7.571,4.379
레노버,18,0,18,68,3.0,5.49
생산능력,9,0,9,13,1.286,3.615
맥북,8,7,1,92,5.143,0.874
fmm,7,0,7,8,1.143,2.831
태블릿,7,4,3,15,1.857,2.177
애플,6,8,-2,230,7.0,-0.274
아이폰,5,4,1,61,3.429,0.551
노트북,5,2,3,128,4.571,0.137
tv,5,4,1,355,13.857,-1.876
tsmc,4,0,4,15,0.857,1.632
폴더블,4,5,-1,57,3.143,0.309
삼성전자,4,10,-6,431,19.286,-2.835
삼성디스플레이,3,0,3,65,0.571,1.383
아이패드,3,1,2,15,1.286,0.803
엔비디아,3,7,-4,113,2.0,0.414
xr,3,5,-2,84,3.571,-0.198
lg디스플레이,3,16,-13,100,4.143,-0.377
갤럭시,3,4,-1,249,5.429,-0.729
필립스,2,0,2,6,0.286,1.117
퀄컴,2,0,2,35,0.571,0.814
sk하이닉스,2,5,-3,65,2.857,-0.319
스마트폰,2,2,0,116,5.0,-0.927
lg전자,2,3,-1,223,6.0,-1.16
byd,1,0,1,9,0.143,0.622
fhd,1,0,1,7,0.143,0.622
올레드,1,0,1,6,0.143,0.622
갤럭시탭,1,0,1,1,0.143,0.622
카카오,1,0,1,31,0.286,0.465
4k,1,0,1,4,0.286,0.465
apple,1,0,1,3,0.286,0.465
asus,1,0,1,11,0.429,0.345
저전력,1,0,1,5,0.429,0.345
양산,1,0,1,25,0.571,0.244
딥엑스,1,0,1,5,0.714,0.155
amd,1,5,-4,27,1.0,0.0
공급망,1,1,0,23,1.0,0.0
모니터,1,1,0,131,4.286,-1.07
