term,cur,prev,diff,ma7,z_like,total
갤럭시,16,2,14,4.857,3.478,79
xr,8,5,3,3.429,1.603,99
asus,2,0,2,0.429,0.95,26
태블릿,2,0,2,0.429,0.95,25
벤츠,10,2,8,6.714,0.915,129
ar,3,1,2,1.143,0.898,38
tsmc,3,2,1,1.286,0.803,23
삼성전자,14,3,11,11.286,0.623,383
ase,1,0,1,0.143,0.622,1
모바일,2,1,1,0.857,0.593,41
삼성디스플레이,3,3,0,1.714,0.557,150
엔비디아,5,5,0,3.429,0.551,115
tv,9,5,4,7.143,0.506,203
폴더블,5,4,1,3.571,0.494,101
nvidia,1,0,1,0.286,0.465,10
증착,1,0,1,0.286,0.465,3
boe,2,1,1,1.143,0.414,36
8k,1,0,1,0.429,0.345,6
vr,1,0,1,0.429,0.345,13
스마트폰,7,8,-1,5.857,0.334,94
lcd,1,0,1,0.571,0.244,23
아이폰,2,4,-2,1.571,0.19,68
화웨이,1,0,1,0.714,0.155,15
kaist,2,9,-7,1.714,0.124,28
디스플레이,6,8,-2,5.714,0.084,187
hp,1,3,-2,0.857,0.074,25
인텔,1,5,-4,1.429,-0.195,56
맥북,1,0,1,1.857,-0.363,15
아이패드,1,0,1,1.857,-0.363,24
sk하이닉스,1,3,-2,2.0,-0.414,52
노트북,1,7,-6,3.0,-0.732,96
현대모비스,2,1,1,4.429,-0.782,57
애플,3,6,-3,5.857,-0.835,211
구글,1,1,0,3.857,-0.964,64
lg디스플레이,2,3,-1,5.429,-1.03,123
oled,3,1,2,8.429,-1.391,282
lg전자,3,31,-28,11.286,-1.901,273
