term,cur,diff,z_like
oled,63,48,9.92
시야각,16,16,5.46
삼성디스플레이,23,22,4.25
lg전자,21,7,4.12
ul,9,9,3.62
lg디스플레이,14,13,3.61
tcl,5,5,2.15
디스플레이,19,14,1.77
삼성전자,33,13,1.73
모바일,6,6,1.66
