--- Sentiment Scaling Log (2026-04-05) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Foldable_Display_Topic): score_raw=0.5134 -> score_final=0.5134
Topic 0 (Foldable_Display_Topic): score_raw=0.5211 -> score_final=0.5211
Topic 0 (Foldable_Display_Topic): score_raw=0.5251 -> score_final=0.5251
Topic 0 (Foldable_Display_Topic): score_raw=0.5242 -> score_final=0.5242
Topic 0 (Foldable_Display_Topic): score_raw=0.5225 -> score_final=0.5225
Topic 0 (Foldable_Display_Topic): score_raw=0.4889 -> score_final=0.4889
Topic 0 (Foldable_Display_Topic): score_raw=0.5182 -> score_final=0.5182
Topic 0 (Foldable_Display_Topic): score_raw=0.5238 -> score_final=0.5238
Topic 0 (Foldable_Display_Topic): score_raw=0.5235 -> score_final=0.5235
Topic 0 (Foldable_Display_Topic): score_raw=0.5189 -> score_final=0.5189
Topic 0 (Foldable_Display_Topic): score_raw=0.5146 -> score_final=0.5146
Topic 0 (Foldable_Display_Topic): score_raw=0.5096 -> score_final=0.5096
Topic 0 (Foldable_Display_Topic): score_raw=0.5155 -> score_final=0.5155
Topic 0 (Foldable_Display_Topic): score_raw=0.5273 -> score_final=0.5273
Topic 0 (Foldable_Display_Topic): score_raw=0.5210 -> score_final=0.5210
Topic 0 (Foldable_Display_Topic): score_raw=0.4932 -> score_final=0.4932
Topic 0 (Foldable_Display_Topic): score_raw=0.5302 -> score_final=0.5302
Topic 0 (Foldable_Display_Topic): score_raw=0.5383 -> score_final=0.5383
Topic 0 (Foldable_Display_Topic): score_raw=0.5277 -> score_final=0.5277
Topic 0 (Foldable_Display_Topic): score_raw=0.5030 -> score_final=0.5030
Topic 0 (Foldable_Display_Topic): score_raw=0.5290 -> score_final=0.5290
Topic 0 (Foldable_Display_Topic): score_raw=0.4925 -> score_final=0.4925
Topic 0 (Foldable_Display_Topic): score_raw=0.5130 -> score_final=0.5130
Topic 0 (Foldable_Display_Topic): score_raw=0.5157 -> score_final=0.5157
Topic 0 (Foldable_Display_Topic): score_raw=0.5142 -> score_final=0.5142
Topic 0 (Foldable_Display_Topic): score_raw=0.5341 -> score_final=0.5341
Topic 0 (Foldable_Display_Topic): score_raw=0.5149 -> score_final=0.5149
Topic 0 (Foldable_Display_Topic): score_raw=0.5262 -> score_final=0.5262
Topic 0 (Foldable_Display_Topic): score_raw=0.5156 -> score_final=0.5156
Topic 0 (Foldable_Display_Topic): score_raw=0.4990 -> score_final=0.4990
Topic 0 (Foldable_Display_Topic): score_raw=0.5225 -> score_final=0.5225
Topic 0 (Foldable_Display_Topic): score_raw=0.5208 -> score_final=0.5208
Topic 0 (Foldable_Display_Topic): score_raw=0.5105 -> score_final=0.5105
Topic 0 (Foldable_Display_Topic): score_raw=0.5261 -> score_final=0.5261
Topic 0 (Foldable_Display_Topic): score_raw=0.5035 -> score_final=0.5035
Topic 0 (Foldable_Display_Topic): score_raw=0.5123 -> score_final=0.5123
Topic 0 (Foldable_Display_Topic): score_raw=0.5264 -> score_final=0.5264
Topic 0 (Foldable_Display_Topic): score_raw=0.5152 -> score_final=0.5152
Topic 0 (Foldable_Display_Topic): score_raw=0.5297 -> score_final=0.5297
Topic 0 (Foldable_Display_Topic): score_raw=0.5058 -> score_final=0.5058
