term,cur,prev,diff,total,ma7,z_like
oled,31,1,30,463,22.143,1.552
lg전자,27,4,23,360,20.286,1.22
디스플레이,22,1,21,259,13.143,1.915
hp,19,0,19,58,3.857,5.109
kaist,18,0,18,24,2.714,5.774
올레드,15,0,15,37,3.143,4.276
삼성디스플레이,11,0,11,172,7.857,0.826
tv,11,3,8,373,17.286,-1.219
삼성전자,8,18,-10,535,22.429,-2.515
노트북,7,2,5,97,5.857,0.334
기아,7,14,-7,58,7.0,0.0
스마트폰,5,4,1,89,2.857,0.797
모니터,5,1,4,206,7.143,-0.583
xr,4,1,3,59,1.571,1.078
애플,4,3,1,145,4.714,-0.225
인텔,3,0,3,30,2.714,0.108
구글,2,0,2,42,1.429,0.26
갤럭시,2,5,-3,64,2.143,-0.058
생산능력,1,0,1,3,0.143,0.622
gram,1,0,1,1,0.143,0.622
픽셀,1,0,1,5,0.286,0.465
vr,1,0,1,8,0.429,0.345
tsmc,1,0,1,13,0.571,0.244
sk하이닉스,1,0,1,34,0.857,0.074
공급망,1,0,1,18,1.0,0.0
샤오미,1,0,1,14,1.143,-0.069
현대모비스,1,0,1,43,1.286,-0.134
아이폰,1,3,-2,78,1.571,-0.254
amd,1,0,1,28,1.571,-0.254
모바일,1,0,1,83,2.857,-0.69
퀄컴,1,1,0,31,3.571,-0.89
폴더블,1,2,-1,82,3.857,-0.964
엔비디아,1,1,0,76,5.714,-1.39
