term,cur,prev,diff,total,ma7,z_like
tv,17,5,12,99,8.714,2.097
엔비디아,13,15,-2,37,4.143,2.918
oled,11,20,-9,202,12.0,-0.224
삼성전자,10,22,-12,358,27.143,-2.761
lg전자,9,4,5,132,6.857,0.592
애플,9,3,6,185,12.0,-0.672
디스플레이,8,4,4,122,5.286,0.823
xr,8,5,3,94,8.286,-0.074
올레드,7,0,7,15,1.571,2.409
현대차,6,2,4,35,1.714,1.856
스마트폰,6,1,5,49,1.857,1.753
갤럭시,6,4,2,65,5.429,0.172
노트북,4,3,1,28,2.714,0.486
퀄컴,3,8,-5,27,1.857,0.484
구글,3,1,2,31,2.429,0.223
폴더블,3,1,2,61,4.0,-0.333
아마존,2,0,2,6,0.571,0.814
lg디스플레이,2,3,-1,73,1.571,0.19
아이폰,2,0,2,51,2.714,-0.27
레노버,2,18,-16,25,3.429,-0.501
현대모비스,1,0,1,21,0.143,0.622
ltps,1,0,1,1,0.143,0.622
노키아,1,0,1,1,0.143,0.622
마이크로소프트,1,0,1,1,0.143,0.622
스마트워치,1,0,1,1,0.143,0.622
애플워치,1,0,1,1,0.143,0.622
하이센스,1,0,1,1,0.143,0.622
수율,1,0,1,5,0.286,0.465
벤츠,1,0,1,4,0.286,0.465
8k,1,1,0,2,0.286,0.465
카카오,1,0,1,8,0.429,0.345
화웨이,1,1,0,8,0.429,0.345
공급망,1,3,-2,17,0.571,0.244
인텔,1,0,1,12,0.571,0.244
메타,1,0,1,11,0.571,0.244
boe,1,0,1,15,0.714,0.155
bmw,1,0,1,7,0.714,0.155
한화솔루션,1,2,-1,6,0.714,0.155
모바일,1,2,-1,12,0.857,0.074
ar,1,0,1,39,1.0,0.0
hp,1,1,0,9,1.0,0.0
sk하이닉스,1,1,0,42,2.429,-0.558
고성능,1,4,-3,28,2.714,-0.648
amd,1,1,0,26,2.857,-0.69
모니터,1,1,0,51,4.714,-1.171
