term,cur,prev,diff,ma7,z_like,total
모니터,20,0,20,3.714,5.563,83
올레드,10,0,10,1.429,3.905,38
폴더블,9,0,9,2.429,2.569,117
lg전자,16,6,10,7.0,2.469,213
벤큐,5,0,5,0.714,2.323,11
고성능,6,0,6,1.286,2.209,17
tcl,3,0,3,0.714,1.239,26
boe,2,0,2,0.429,0.95,13
벤츠,2,0,2,0.571,0.814,54
ald,1,0,1,0.143,0.622,1
갤럭시z폴드,1,0,1,0.143,0.622,1
아이패드,1,0,1,0.143,0.622,13
오포,1,0,1,0.143,0.622,2
프로아트,1,0,1,0.143,0.622,2
vr,3,0,3,1.714,0.557,17
oled,19,3,16,16.286,0.539,364
tsmc,3,1,2,1.857,0.484,30
4k,1,0,1,0.286,0.465,13
bmw,1,0,1,0.286,0.465,8
레노버,1,0,1,0.286,0.465,34
뷰소닉,1,0,1,0.286,0.465,3
스트레처블,1,0,1,0.286,0.465,2
저전력,1,0,1,0.286,0.465,2
hp,2,0,2,1.143,0.414,73
공급망,3,0,3,2.0,0.414,52
애플,10,5,5,8.714,0.325,240
asus,1,0,1,0.571,0.244,15
lcd,1,0,1,0.571,0.244,16
구글,1,0,1,0.571,0.244,44
삼성전자,20,7,13,18.857,0.214,634
갤럭시,2,0,2,1.571,0.19,59
sk하이닉스,1,0,1,0.714,0.155,45
노트북,4,4,0,3.571,0.148,136
ar,2,1,1,1.714,0.124,30
퀄컴,1,1,0,0.857,0.074,19
소니,1,0,1,1.143,-0.069,16
스마트폰,1,1,0,1.571,-0.254,87
아이폰,1,1,0,1.571,-0.254,67
카카오,1,3,-2,1.571,-0.254,19
디스플레이,4,2,2,5.429,-0.429,238
xr,2,0,2,3.429,-0.501,115
엔비디아,1,0,1,2.286,-0.512,91
인텔,1,3,-2,2.714,-0.648,50
tv,6,3,3,9.571,-0.872,434
삼성디스플레이,1,1,0,3.857,-0.964,87
