term,cur,prev,diff,total,ma7,z_like
갤럭시,22,9,13,124,8.429,3.477
lg전자,16,4,12,298,10.429,1.317
삼성전자,12,3,9,323,9.857,0.518
노트북,8,2,6,104,4.0,1.333
애플,7,12,-5,343,10.286,-0.781
폴더블,6,0,6,176,6.714,-0.199
스마트폰,5,4,1,108,5.429,-0.129
oled,5,1,4,259,6.286,-0.367
아이폰,3,0,3,87,2.857,0.053
벤큐,2,0,2,10,0.857,0.593
모니터,2,2,0,102,2.0,0.0
xr,2,1,1,85,3.286,-0.457
디스플레이,2,1,1,234,7.571,-1.485
메타,1,0,1,28,0.143,0.622
고성능,1,0,1,8,0.143,0.622
벤츠,1,0,1,4,0.286,0.465
byd,1,1,0,15,0.429,0.345
tcl,1,0,1,26,0.571,0.244
lcd,1,0,1,15,0.714,0.155
퀄컴,1,2,-1,28,1.0,0.0
인텔,1,0,1,31,1.571,-0.254
tv,1,3,-2,168,3.286,-0.813
모바일,1,0,1,47,3.714,-0.927
엔비디아,1,3,-2,99,4.0,-1.0
