--- Sentiment Scaling Log (2026-02-10) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Flexible_Display_Topic): score_raw=0.4634 -> score_final=0.4634
Topic 0 (Flexible_Display_Topic): score_raw=0.4650 -> score_final=0.4650
Topic 0 (Flexible_Display_Topic): score_raw=0.4381 -> score_final=0.4381
Topic 0 (Flexible_Display_Topic): score_raw=0.4379 -> score_final=0.4379
Topic 0 (Flexible_Display_Topic): score_raw=0.4742 -> score_final=0.4742
Topic 0 (Flexible_Display_Topic): score_raw=0.4452 -> score_final=0.4452
Topic 0 (Flexible_Display_Topic): score_raw=0.4615 -> score_final=0.4615
Topic 0 (Flexible_Display_Topic): score_raw=0.4464 -> score_final=0.4464
Topic 0 (Flexible_Display_Topic): score_raw=0.4576 -> score_final=0.4576
Topic 0 (Flexible_Display_Topic): score_raw=0.4614 -> score_final=0.4614
Topic 0 (Flexible_Display_Topic): score_raw=0.4480 -> score_final=0.4480
Topic 0 (Flexible_Display_Topic): score_raw=0.4518 -> score_final=0.4518
Topic 0 (Flexible_Display_Topic): score_raw=0.4467 -> score_final=0.4467
Topic 0 (Flexible_Display_Topic): score_raw=0.4477 -> score_final=0.4477
Topic 0 (Flexible_Display_Topic): score_raw=0.4378 -> score_final=0.4378
Topic 0 (Flexible_Display_Topic): score_raw=0.4516 -> score_final=0.4516
Topic 0 (Flexible_Display_Topic): score_raw=0.4349 -> score_final=0.4349
Topic 0 (Flexible_Display_Topic): score_raw=0.4549 -> score_final=0.4549
Topic 0 (Flexible_Display_Topic): score_raw=0.4608 -> score_final=0.4608
Topic 0 (Flexible_Display_Topic): score_raw=0.4718 -> score_final=0.4718
Topic 0 (Flexible_Display_Topic): score_raw=0.4755 -> score_final=0.4755
Topic 0 (Flexible_Display_Topic): score_raw=0.4562 -> score_final=0.4562
Topic 0 (Flexible_Display_Topic): score_raw=0.4357 -> score_final=0.4357
Topic 0 (Flexible_Display_Topic): score_raw=0.4553 -> score_final=0.4553
Topic 0 (Flexible_Display_Topic): score_raw=0.4647 -> score_final=0.4647
Topic 0 (Flexible_Display_Topic): score_raw=0.4456 -> score_final=0.4456
Topic 0 (Flexible_Display_Topic): score_raw=0.4620 -> score_final=0.4620
Topic 0 (Flexible_Display_Topic): score_raw=0.4506 -> score_final=0.4506
Topic 0 (Flexible_Display_Topic): score_raw=0.4668 -> score_final=0.4668
Topic 0 (Flexible_Display_Topic): score_raw=0.4762 -> score_final=0.4762
Topic 0 (Flexible_Display_Topic): score_raw=0.4310 -> score_final=0.4310
Topic 0 (Flexible_Display_Topic): score_raw=0.4542 -> score_final=0.4542
Topic 0 (Flexible_Display_Topic): score_raw=0.4634 -> score_final=0.4634
Topic 0 (Flexible_Display_Topic): score_raw=0.4444 -> score_final=0.4444
Topic 0 (Flexible_Display_Topic): score_raw=0.4438 -> score_final=0.4438
Topic 0 (Flexible_Display_Topic): score_raw=0.4682 -> score_final=0.4682
Topic 0 (Flexible_Display_Topic): score_raw=0.4450 -> score_final=0.4450
Topic 0 (Flexible_Display_Topic): score_raw=0.4553 -> score_final=0.4553
Topic 0 (Flexible_Display_Topic): score_raw=0.4345 -> score_final=0.4345
Topic 0 (Flexible_Display_Topic): score_raw=0.4525 -> score_final=0.4525
