org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
10년,3,1,4,1,2,4,4,6,5,1,2,3,1,3
10월,4,12,4,0,0,3,4,1,3,0,4,1,1,5
11월,1,0,0,1,0,0,1,0,1,4,1,0,0,0
120Hz,1,0,1,0,0,0,1,0,0,0,0,0,0,1
12억달러,2,0,2,3,3,0,1,0,2,1,0,5,2,3
14개,1,0,2,0,1,0,0,0,0,0,0,0,0,1
1년,1,0,2,0,1,0,0,0,0,0,0,0,0,1
1만명,2,4,1,0,0,1,0,0,1,0,2,0,0,1
1만원,0,1,0,1,0,0,0,0,1,0,5,0,0,0
1순위,2,4,1,0,0,1,0,0,1,0,2,0,0,1
1인,0,2,0,1,1,0,0,2,1,0,1,1,0,0
2023년,2,1,4,1,1,2,2,1,2,1,1,2,1,3
2030년,2,0,2,3,3,0,1,0,2,1,0,5,2,3
2030년에,2,0,2,4,2,0,1,0,2,1,1,5,2,3
240Hz,1,0,2,2,1,0,1,0,0,1,1,1,1,2
27GX704A-B,1,0,2,2,1,0,1,0,0,1,1,1,1,2
27인치,1,0,2,2,1,0,1,0,0,1,1,1,1,2
2가지,1,0,2,2,2,0,0,4,1,1,0,2,1,2
2와,0,1,0,2,2,0,1,4,2,0,1,0,0,0
3는,0,1,0,2,2,0,1,4,2,0,1,0,0,0
3분기,3,1,10,6,1,0,0,0,3,2,1,3,3,6
500니트,1,0,1,0,0,0,1,0,0,0,0,0,0,1
52주,1,0,2,0,1,0,0,0,0,0,0,0,0,1
5일부터,0,0,1,0,0,0,3,1,0,0,0,1,1,2
7은,3,0,2,0,1,1,0,3,2,0,1,2,0,1
8.6G,9,4,13,3,3,6,4,4,4,3,1,7,9,8
8.6세대,15,2,33,8,11,8,8,1,14,10,3,10,17,18
84m2A,1,4,1,0,0,1,0,0,0,0,1,0,0,1
8세대,3,0,4,0,2,1,1,0,2,0,0,2,5,2
8일까지입니다.,0,0,1,0,0,0,3,1,0,0,0,1,1,2
99m2A,1,4,1,0,0,1,0,0,0,0,1,0,0,1
ADR,0,0,0,0,2,0,0,1,0,0,1,1,0,0
advertisement,8,4,3,6,6,2,6,5,7,8,4,3,2,6
AHC,1,0,0,1,0,0,2,0,1,4,1,0,0,0
AI,15,0,6,14,32,17,9,11,17,5,7,5,4,5
AI서비스,1,0,0,1,2,2,1,0,1,0,2,1,1,0
AI알고리즘들,1,0,3,0,1,2,1,0,0,0,1,1,1,2
and,0,0,0,0,2,0,0,0,0,0,0,2,0,0
AP,2,0,0,4,2,1,1,2,1,2,0,0,0,0
AP시스템,9,0,16,0,4,4,5,1,6,1,0,5,20,8
AR,7,2,6,4,18,4,6,6,6,2,4,8,3,6
AR스마트글래스,2,0,1,3,4,2,0,0,1,1,0,1,1,1
BABA,0,0,0,0,2,0,0,1,0,0,1,1,0,0
BI,1,0,0,1,0,0,2,0,1,4,1,0,0,0
