term,cur,prev,diff,ma7,z_like,total,date
lg디스플레이,4,0,4,1.429,1.171,77,2025-10-14
tcl,1,0,1,0.143,0.622,1,2025-10-14
비전프로,1,0,1,0.143,0.622,2,2025-10-14
아이패드,1,0,1,0.143,0.622,5,2025-10-14
맥북,1,0,1,0.286,0.465,8,2025-10-14
현대차,1,1,0,0.857,0.074,24,2025-10-14
폴더블,1,3,-2,1.429,-0.195,22,2025-10-14
lg,2,0,2,3.0,-0.366,255,2025-10-14
oled,2,0,2,3.0,-0.366,136,2025-10-14
lg전자,1,1,0,2.143,-0.464,37,2025-10-14
애플,1,2,-1,3.143,-0.773,68,2025-10-14
삼성전자,1,8,-7,5.286,-1.299,93,2025-10-14
삼성,1,6,-5,7.143,-1.673,329,2025-10-14
삼성전자,22,1,21,8.286,3.536,113,2025-10-15
한화,8,0,8,1.143,3.314,37,2025-10-15
차세대,5,0,5,0.857,2.151,42,2025-10-15
비보,4,0,4,0.571,1.953,4,2025-10-15
4k,3,0,3,0.429,1.554,3,2025-10-15
파나소닉,3,0,3,0.429,1.554,3,2025-10-15
삼성,15,1,14,9.0,1.5,355,2025-10-15
lg전자,7,1,6,3.143,1.391,43,2025-10-15
공급망,3,0,3,0.571,1.383,8,2025-10-15
samsung,1,0,1,0.143,0.622,2,2025-10-15
vr,1,0,1,0.143,0.622,10,2025-10-15
고효율,1,0,1,0.143,0.622,1,2025-10-15
sk하이닉스,2,0,2,1.143,0.414,25,2025-10-15
구글,1,0,1,0.571,0.244,13,2025-10-15
엔비디아,1,0,1,0.571,0.244,10,2025-10-15
lg,4,2,2,3.429,0.2,259,2025-10-15
amd,1,0,1,0.714,0.155,6,2025-10-15
갤럭시,1,0,1,0.857,0.074,25,2025-10-15
현대모비스,2,0,2,1.857,0.06,20,2025-10-15
애플,3,1,2,3.429,-0.15,77,2025-10-15
lg디스플레이,1,4,-3,1.571,-0.254,73,2025-10-15
구글,6,1,5,1.143,2.348,19,2025-10-16
oled,8,0,8,3.429,1.603,139,2025-10-16
lg,9,4,5,4.286,1.535,266,2025-10-16
삼성전자,14,22,-8,9.429,1.123,126,2025-10-16
lg전자,7,7,0,3.714,1.122,50,2025-10-16
ar,2,0,2,0.286,1.117,31,2025-10-16
게이밍,2,0,2,0.286,1.117,12,2025-10-16
선익시스템,2,0,2,0.286,1.117,5,2025-10-16
엔비디아,3,1,2,0.857,1.113,11,2025-10-16
애플,5,3,2,2.714,0.863,82,2025-10-16
폴더블,3,0,3,1.286,0.803,27,2025-10-16
imid,1,0,1,0.143,0.622,1,2025-10-16
meta,1,0,1,0.143,0.622,1,2025-10-16
고성능,1,0,1,0.143,0.622,11,2025-10-16
수율,1,0,1,0.143,0.622,2,2025-10-16
주사율,1,0,1,0.143,0.622,3,2025-10-16
픽셀,1,0,1,0.143,0.622,2,2025-10-16
삼성,11,15,-4,8.571,0.618,362,2025-10-16
퀄컴,2,0,2,0.857,0.593,17,2025-10-16
lg디스플레이,3,1,2,1.714,0.557,76,2025-10-16
boe,1,0,1,0.286,0.465,15,2025-10-16
byd,1,0,1,0.286,0.465,6,2025-10-16
tcl,1,0,1,0.286,0.465,2,2025-10-16
인텔,1,0,1,0.286,0.465,9,2025-10-16
samsung,1,1,0,0.286,0.465,3,2025-10-16
차세대,2,5,-3,1.143,0.414,44,2025-10-16
apple,1,0,1,0.429,0.345,4,2025-10-16
갤럭시,1,1,0,0.714,0.155,26,2025-10-16
현대차,1,0,1,1.0,0.0,25,2025-10-16
sk하이닉스,1,2,-1,1.286,-0.134,26,2025-10-16
한화,1,8,-7,1.286,-0.134,38,2025-10-16
oled,3,6,-3,2.857,0.053,138,2025-10-17
삼성전자,1,14,-13,8.0,-1.828,126,2025-10-17
