term,cur,prev,diff,ma7,z_like,total,date
카카오,16,0,16,2.714,5.018,37,2026-02-13
삼성디스플레이,14,0,14,2.286,4.664,59,2026-02-13
oled,27,11,16,8.857,4.563,302,2026-02-13
모니터,17,0,17,3.714,4.539,88,2026-02-13
디스플레이,13,4,9,4.143,2.918,223,2026-02-13
amd,5,0,5,0.714,2.323,13,2026-02-13
tv,10,5,5,5.286,1.429,376,2026-02-13
현대모비스,4,0,4,1.429,1.171,49,2026-02-13
패드,2,0,2,0.286,1.117,4,2026-02-13
lg전자,9,13,-4,5.571,1.02,265,2026-02-13
삼성전자,15,6,9,11.286,0.852,396,2026-02-13
구글,4,1,3,2.0,0.828,54,2026-02-13
모바일,3,1,2,1.286,0.803,31,2026-02-13
노트북,5,5,0,2.857,0.797,119,2026-02-13
폴더블,4,0,4,2.286,0.682,47,2026-02-13
양산,3,0,3,1.571,0.634,64,2026-02-13
샤오미,1,0,1,0.143,0.622,6,2026-02-13
증착,1,0,1,0.143,0.622,1,2026-02-13
메타,2,0,2,1.0,0.5,28,2026-02-13
마이크로소프트,1,0,1,0.286,0.465,4,2026-02-13
시스코,1,0,1,0.286,0.465,2,2026-02-13
nvidia,1,1,0,0.286,0.465,2,2026-02-13
벤츠,1,1,0,0.286,0.465,52,2026-02-13
저전력,1,1,0,0.286,0.465,2,2026-02-13
벤큐,1,0,1,0.429,0.345,10,2026-02-13
퀄컴,1,0,1,0.429,0.345,7,2026-02-13
소니,1,0,1,0.571,0.244,87,2026-02-13
아마존,1,0,1,0.571,0.244,11,2026-02-13
tsmc,1,1,0,0.571,0.244,25,2026-02-13
애플,6,1,5,5.286,0.217,161,2026-02-13
sk하이닉스,3,6,-3,2.571,0.165,63,2026-02-13
tcl,1,0,1,0.714,0.155,118,2026-02-13
선익시스템,1,0,1,0.714,0.155,25,2026-02-13
한화솔루션,1,2,-1,0.857,0.074,7,2026-02-13
스마트폰,2,2,0,1.857,0.06,82,2026-02-13
태블릿,1,0,1,1.0,0.0,13,2026-02-13
아이폰,2,0,2,2.286,-0.114,66,2026-02-13
갤럭시,2,4,-2,2.571,-0.219,74,2026-02-13
한미반도체,2,1,1,2.857,-0.319,22,2026-02-13
엔비디아,1,4,-3,2.571,-0.604,52,2026-02-13
xr,1,0,1,3.143,-0.773,65,2026-02-13
lg디스플레이,1,3,-2,5.571,-1.36,126,2026-02-13
lcd,1,3,-2,6.286,-1.507,60,2026-02-13
폴더블,9,4,5,2.857,2.283,55,2026-02-14
엔비디아,8,1,7,3.143,1.752,60,2026-02-14
kaist,3,0,3,0.429,1.554,22,2026-02-14
레노버,3,0,3,0.571,1.383,34,2026-02-14
fhd,2,0,2,0.286,1.117,2,2026-02-14
애플,8,6,2,5.571,0.723,163,2026-02-14
google,1,0,1,0.143,0.622,1,2026-02-14
그램,1,0,1,0.143,0.622,4,2026-02-14
설비투자,1,0,1,0.143,0.622,5,2026-02-14
갤럭시,4,2,2,2.429,0.614,75,2026-02-14
공급망,2,0,2,0.857,0.593,14,2026-02-14
모니터,6,17,-11,4.286,0.558,90,2026-02-14
양산,3,3,0,1.714,0.557,66,2026-02-14
원익ips,1,0,1,0.286,0.465,4,2026-02-14
디스플레이,6,13,-7,4.714,0.405,218,2026-02-14
nvidia,1,1,0,0.429,0.345,3,2026-02-14
시스코,1,1,0,0.429,0.345,3,2026-02-14
노트북,4,5,-1,3.143,0.309,118,2026-02-14
퀄컴,1,1,0,0.571,0.244,8,2026-02-14
boe,1,0,1,0.714,0.155,28,2026-02-14
맥북,1,0,1,0.714,0.155,20,2026-02-14
hp,1,0,1,0.857,0.074,60,2026-02-14
tv,5,10,-5,5.571,-0.17,374,2026-02-14
ar,1,0,1,1.429,-0.195,43,2026-02-14
sk하이닉스,2,3,-1,2.571,-0.219,63,2026-02-14
삼성전자,10,15,-5,11.0,-0.232,400,2026-02-14
xr,1,1,0,1.714,-0.309,62,2026-02-14
스마트폰,1,2,-1,1.714,-0.309,82,2026-02-14
구글,1,4,-3,2.0,-0.414,52,2026-02-14
삼성디스플레이,1,14,-13,2.429,-0.558,60,2026-02-14
한미반도체,1,2,-1,2.714,-0.648,22,2026-02-14
카카오,1,16,-15,2.857,-0.69,38,2026-02-14
lg전자,3,9,-6,5.571,-0.765,236,2026-02-14
oled,5,27,-22,9.143,-1.03,304,2026-02-14
lg디스플레이,1,1,0,5.429,-1.33,125,2026-02-14
lcd,1,1,0,6.429,-1.535,60,2026-02-14
스마트폰,4,1,3,1.714,0.99,82,2026-02-15
vr,1,0,1,0.143,0.622,20,2026-02-15
원익ips,1,1,0,0.286,0.465,5,2026-02-15
fhd,1,2,-1,0.429,0.345,3,2026-02-15
아이폰,3,0,3,2.286,0.284,66,2026-02-15
boe,1,1,0,0.714,0.155,28,2026-02-15
퀄컴,1,1,0,0.714,0.155,9,2026-02-15
amd,1,0,1,0.857,0.074,12,2026-02-15
xr,2,1,1,1.857,0.06,62,2026-02-15
애플,5,8,-3,5.429,-0.129,159,2026-02-15
sk하이닉스,2,2,0,2.429,-0.168,63,2026-02-15
구글,1,1,0,2.0,-0.414,52,2026-02-15
모니터,3,6,-3,4.571,-0.501,84,2026-02-15
