term,cur,prev,diff,ma7,z_like,total
씽크패드,6,0,6,0.857,2.67,6
소니,6,0,6,1.0,2.5,11
lcd,7,0,7,2.0,2.071,38
올레드tv,4,0,4,0.571,1.953,5
인텔,5,1,4,1.714,1.423,37
선익시스템,5,0,5,1.429,1.627,24
8k,2,0,2,0.286,1.117,2
게이밍모니터,2,0,2,0.286,1.117,5
태블릿,2,0,2,0.286,1.117,22
메타,2,0,2,0.429,0.95,21
kaist,9,0,9,1.286,3.615,28
ar,8,0,8,1.143,3.314,39
해상도,2,0,2,0.286,1.117,2
소니,4,1,3,1.714,0.99,16
저전력,2,0,2,0.429,0.95,7
lg화학,25,0,25,3.571,7.415,25
한화솔루션,6,0,6,0.857,2.67,7
현대모비스,3,0,3,0.857,1.113,33
메타,3,1,2,1.0,1.0,25
화웨이,2,0,2,0.429,0.95,18
소니,10,2,8,3.429,2.304,29
harman,4,0,4,0.571,1.953,4
etri,4,0,4,0.571,1.953,8
벤큐,4,0,4,0.571,1.953,13
