term,cur,prev,diff,ma7,z_like,total
올레드,21,0,21,3.857,5.784,50
tv,26,7,19,8.0,4.702,346
올레드tv,2,0,2,0.286,1.117,3
화웨이,3,0,3,0.857,1.113,12
vr,3,0,3,1.0,1.0,22
스마트폰,7,5,2,4.143,0.941,92
카카오,2,0,2,0.571,0.814,20
oled,8,2,6,5.429,0.772,268
갤럭시,4,0,4,2.143,0.754,68
스마트워치,1,0,1,0.143,0.622,3
아이폰,2,0,2,1.0,0.5,42
샤오미,1,0,1,0.286,0.465,8
sk하이닉스,2,1,1,1.286,0.335,37
노트북,4,2,2,3.143,0.309,129
ar,1,1,0,0.857,0.074,27
메타,2,0,2,1.857,0.06,28
lg디스플레이,1,0,1,1.0,0.0,62
고성능,1,0,1,1.0,0.0,23
xr,3,1,2,3.286,-0.102,100
기아,1,1,0,1.571,-0.254,27
lg전자,7,3,4,8.571,-0.4,242
디스플레이,2,0,2,4.143,-0.706,185
애플,3,6,-3,5.571,-0.765,201
엔비디아,1,1,0,3.571,-0.89,105
구글,4,1,3,9.429,-1.334,118
모니터,3,3,0,11.429,-1.924,142
삼성전자,13,16,-3,26.714,-2.223,692
