term,cur,prev,diff,ma7,z_like,total
모니터,17,3,14,5.143,3.628,134
삼성전자,38,30,8,20.0,3.289,442
아이폰,9,3,6,2.714,2.374,63
기아,5,0,5,1.0,2.0,11
sk하이닉스,7,3,4,2.143,1.971,60
딥엑스,4,0,4,0.571,1.953,4
폴더블,7,4,3,2.286,1.877,53
스마트폰,12,8,4,6.0,1.739,115
boe,4,1,3,1.143,1.381,39
etri,2,0,2,0.286,1.117,4
노키아,2,0,2,0.286,1.117,3
생산량,2,0,2,0.286,1.117,2
저전력,2,0,2,0.286,1.117,4
디스플레이,12,7,5,8.143,1.001,263
선익시스템,2,1,1,0.429,0.95,37
갤럭시,8,5,3,5.286,0.823,246
퀄컴,2,0,2,0.571,0.814,33
양산,2,1,1,0.571,0.814,27
구글,5,1,4,2.857,0.797,69
apple,1,0,1,0.143,0.622,2
kaist,1,0,1,0.143,0.622,25
게이밍모니터,1,0,1,0.143,0.622,1
픽셀,1,0,1,0.143,0.622,7
현대모비스,3,0,3,1.857,0.484,20
tsmc,1,0,1,0.286,0.465,12
설비투자,1,0,1,0.286,0.465,14
하이센스,1,0,1,0.286,0.465,9
xr,5,2,3,3.714,0.439,82
애플,12,16,-4,10.429,0.372,230
삼성디스플레이,1,0,1,0.429,0.345,64
sharp,1,1,0,0.429,0.345,9
슬라이더블,1,2,-1,0.429,0.345,3
oled,8,14,-6,6.857,0.316,349
asus,1,0,1,0.571,0.244,12
lcd,1,1,0,0.571,0.244,63
ar,2,2,0,1.571,0.19,37
lg디스플레이,2,2,0,1.571,0.19,111
알파벳,1,0,1,0.714,0.155,7
아이패드,1,3,-2,0.857,0.074,15
jdi,1,0,1,1.0,0.0,8
오포,1,1,0,1.0,0.0,10
노트북,5,10,-5,5.143,-0.044,127
공급망,1,2,-1,1.143,-0.069,23
hp,2,2,0,3.0,-0.366,52
엔비디아,1,0,1,2.286,-0.512,108
tv,12,32,-20,17.143,-1.0,358
맥북,3,11,-8,7.143,-1.128,81
lg전자,3,9,-6,7.286,-1.159,224
qled,1,1,0,5.0,-1.236,38
tcl,1,0,1,5.571,-1.36,84
