org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,83.04 (2%),58.60 (2%),,19.70 (1%),32.28 (2%),67.24 (2%),,52.34 (2%),54.87 (6%),17.33 (2%),
ASUS,17.16 (0%),15.01 (1%),,2.19 (0%),4.84 (0%),18.02 (0%),,2.83 (0%),6.86 (1%),5.05 (0%),
AUO,4.12 (0%),2.14 (0%),,2.19 (0%),,4.85 (0%),,2.12 (0%),0.76 (0%),,
Acer,5.49 (0%),6.43 (0%),1.52 (0%),,2.42 (0%),4.85 (0%),,3.54 (0%),3.05 (0%),2.89 (0%),
Apple,7.55 (0%),4.29 (0%),,0.73 (0%),,2.08 (0%),1.88 (0%),1.41 (0%),0.76 (0%),2.17 (0%),
BMW,44.61 (1%),37.16 (1%),,123.33 (4%),22.60 (1%),70.01 (2%),,46.68 (2%),11.43 (1%),15.16 (1%),
BOE,49.41 (1%),35.73 (1%),20.58 (3%),15.33 (0%),18.56 (1%),49.91 (1%),,43.15 (2%),,17.33 (2%),
BYD,16.47 (0%),11.43 (0%),11.43 (2%),35.03 (1%),7.26 (0%),26.34 (1%),,16.27 (1%),,6.50 (1%),
Bosch,,0.71 (0%),0.76 (0%),0.73 (0%),0.81 (0%),3.47 (0%),,,0.76 (0%),1.44 (0%),1.20 (1%)
CSOT,9.61 (0%),7.86 (0%),9.15 (1%),1.46 (0%),1.61 (0%),6.24 (0%),,5.66 (0%),1.52 (0%),,
Continental,1.37 (0%),0.71 (0%),,0.73 (0%),,2.77 (0%),,0.71 (0%),,,
Dell,25.39 (1%),15.72 (1%),2.29 (0%),,3.23 (0%),25.65 (1%),,9.20 (0%),9.15 (1%),7.22 (1%),
HP,52.84 (1%),28.59 (1%),,,123.48 (8%),35.35 (1%),7.54 (1%),17.68 (1%),7.62 (1%),16.61 (2%),
Harman,6.86 (0%),7.15 (0%),,10.22 (0%),,10.40 (0%),0.94 (0%),9.20 (0%),0.76 (0%),1.44 (0%),
