term,cur,prev,diff,ma7,z_like,total
모니터,17,1,16,4.429,4.05,111
삼성전자,32,11,21,15.0,3.489,377
tcl,6,0,6,1.429,2.082,28
레노버,10,0,10,4.143,1.93,73
모바일,5,0,5,1.571,1.521,25
애플,17,20,-3,10.857,1.43,315
vr,3,2,1,0.857,1.113,16
노트북,7,5,2,3.857,1.06,99
인텔,3,2,1,1.143,0.898,36
아이폰,7,12,-5,4.429,0.828,98
tv,10,8,2,7.0,0.823,213
capex,1,0,1,0.143,0.622,2
qled,1,0,1,0.143,0.622,1
sk온,1,0,1,0.143,0.622,1
사이니지,1,0,1,0.143,0.622,1
애플워치,1,0,1,0.143,0.622,5
한화시스템,1,0,1,0.143,0.622,2
dell,1,0,1,0.286,0.465,4
아이패드,1,0,1,0.286,0.465,8
고성능,1,1,0,0.286,0.465,8
양산,2,1,1,1.143,0.414,68
샤오미,2,2,0,1.143,0.414,19
올레드,1,0,1,0.429,0.345,11
화웨이,1,0,1,0.429,0.345,15
asus,2,5,-3,1.286,0.335,19
lg디스플레이,3,1,2,2.286,0.284,99
ar,4,6,-2,3.286,0.254,74
lcd,1,0,1,0.571,0.244,36
공급망,1,0,1,0.571,0.244,49
카카오,1,0,1,0.571,0.244,26
아마존,1,1,0,0.571,0.244,33
엔비디아,8,6,2,7.286,0.193,136
메타,1,1,0,0.714,0.155,25
xr,3,3,0,2.714,0.108,67
폴더블,10,10,0,10.143,-0.034,206
lg전자,7,10,-3,8.714,-0.434,291
구글,2,4,-2,3.286,-0.457,96
스마트폰,2,5,-3,4.0,-0.667,101
삼성디스플레이,2,1,1,4.143,-0.706,44
디스플레이,4,4,0,7.571,-0.952,164
갤럭시,1,6,-5,4.0,-1.0,166
oled,5,9,-4,14.714,-2.009,288
