term,cur,prev,diff,ma7,z_like,total,date
구글,13,5,8,5.143,2.404,92,2026-08-14
레노버,6,0,6,1.143,2.348,56,2026-08-14
픽셀,5,2,3,1.0,2.0,12,2026-08-14
ppi,4,0,4,0.571,1.953,5,2026-08-14
선익시스템,7,0,7,3.0,1.464,41,2026-08-14
퀄컴,3,0,3,0.571,1.383,39,2026-08-14
마이크로소프트,3,1,2,0.571,1.383,11,2026-08-14
스마트폰,6,3,3,3.429,0.902,98,2026-08-14
수율,2,1,1,0.571,0.814,8,2026-08-14
모니터,6,9,-3,3.857,0.723,87,2026-08-14
디스플레이,6,14,-8,3.857,0.723,243,2026-08-14
8k,1,0,1,0.143,0.622,3,2026-08-14
auo,1,0,1,0.143,0.622,1,2026-08-14
생산능력,1,0,1,0.143,0.622,2,2026-08-14
도우인시스,1,0,1,0.286,0.465,2,2026-08-14
롤러블,1,0,1,0.286,0.465,7,2026-08-14
화웨이,1,0,1,0.286,0.465,13,2026-08-14
고성능,1,0,1,0.429,0.345,9,2026-08-14
hp,2,2,0,1.286,0.335,56,2026-08-14
아마존,1,2,-1,0.571,0.244,30,2026-08-14
노트북,3,1,2,2.571,0.165,99,2026-08-14
샤오미,1,1,0,0.714,0.155,12,2026-08-14
boe,1,3,-2,0.714,0.155,16,2026-08-14
oled,8,19,-11,7.429,0.153,358,2026-08-14
올레드,1,0,1,0.857,0.074,13,2026-08-14
삼성디스플레이,1,2,-1,0.857,0.074,59,2026-08-14
설비투자,1,4,-3,0.857,0.074,8,2026-08-14
lg전자,11,14,-3,10.714,0.067,274,2026-08-14
lg디스플레이,3,12,-9,2.857,0.053,145,2026-08-14
엔비디아,2,4,-2,2.0,0.0,90,2026-08-14
메타,1,1,0,1.143,-0.069,28,2026-08-14
아이폰,3,8,-5,3.429,-0.15,66,2026-08-14
애플,13,8,5,13.857,-0.182,294,2026-08-14
공급망,1,0,1,1.714,-0.309,57,2026-08-14
폴더블,8,12,-4,9.286,-0.318,235,2026-08-14
양산,2,2,0,3.0,-0.366,51,2026-08-14
xr,1,1,0,2.143,-0.464,76,2026-08-14
tv,5,8,-3,9.143,-1.03,159,2026-08-14
삼성전자,4,9,-5,10.571,-1.546,318,2026-08-14
딥엑스,15,0,15,2.143,5.218,19,2026-08-15
삼성전자,28,4,24,13.143,3.212,330,2026-08-15
엔비디아,12,2,10,3.429,3.006,99,2026-08-15
양산,14,2,12,5.0,2.781,63,2026-08-15
디스플레이,14,6,8,5.571,2.508,238,2026-08-15
파나소닉,5,0,5,0.714,2.323,5,2026-08-15
수율,6,2,4,1.429,2.082,14,2026-08-15
아이폰,9,3,6,4.143,1.6,73,2026-08-15
ar,6,0,6,2.286,1.479,61,2026-08-15
lg디스플레이,8,3,5,3.857,1.398,153,2026-08-15
모니터,9,6,3,4.714,1.351,96,2026-08-15
xr,6,1,5,2.571,1.317,80,2026-08-15
4k,2,0,2,0.286,1.117,3,2026-08-15
레노버,4,6,-2,1.714,0.99,60,2026-08-15
amd,1,0,1,0.143,0.622,27,2026-08-15
ltpo,1,0,1,0.143,0.622,2,2026-08-15
게이밍모니터,1,0,1,0.143,0.622,6,2026-08-15
시스코,1,0,1,0.143,0.622,1,2026-08-15
ppi,2,4,-2,0.857,0.593,6,2026-08-15
lg전자,12,11,1,9.571,0.593,270,2026-08-15
벤츠,1,0,1,0.286,0.465,7,2026-08-15
생산능력,1,1,0,0.286,0.465,3,2026-08-15
갤럭시,5,0,5,3.714,0.439,293,2026-08-15
노트북,4,3,1,2.857,0.425,100,2026-08-15
화웨이,1,1,0,0.429,0.345,13,2026-08-15
모바일,2,0,2,1.286,0.335,25,2026-08-15
oled,8,8,0,7.286,0.193,361,2026-08-15
vr,1,0,1,0.714,0.155,10,2026-08-15
샤오미,1,1,0,0.714,0.155,12,2026-08-15
퀄컴,1,3,-2,0.714,0.155,38,2026-08-15
맥북,1,0,1,0.857,0.074,16,2026-08-15
설비투자,1,1,0,0.857,0.074,9,2026-08-15
스마트폰,3,6,-3,3.143,-0.052,99,2026-08-15
kaist,1,0,1,1.143,-0.069,24,2026-08-15
공급망,1,1,0,1.429,-0.195,54,2026-08-15
sk하이닉스,1,0,1,2.0,-0.414,94,2026-08-15
tv,5,5,0,6.857,-0.513,160,2026-08-15
인텔,1,0,1,2.857,-0.69,36,2026-08-15
폴더블,6,8,-2,9.286,-0.812,224,2026-08-15
구글,1,13,-12,3.714,-0.927,88,2026-08-15
애플,7,13,-6,12.857,-1.277,293,2026-08-15
알파벳,3,0,3,0.571,1.383,21,2026-08-16
ar,6,6,0,3.143,1.03,65,2026-08-16
갤럭시탭,1,0,1,0.143,0.622,2,2026-08-16
미디어텍,1,0,1,0.143,0.622,2,2026-08-16
퀄컴,2,1,1,1.0,0.5,39,2026-08-16
bmw,1,0,1,0.286,0.465,15,2026-08-16
byd,1,0,1,0.429,0.345,12,2026-08-16
벤츠,1,1,0,0.429,0.345,8,2026-08-16
엔비디아,5,12,-7,4.0,0.333,100,2026-08-16
모바일,2,2,0,1.429,0.26,25,2026-08-16
메타,1,0,1,1.143,-0.069,29,2026-08-16
kaist,1,1,0,1.286,-0.134,25,2026-08-16
스마트폰,3,3,0,3.429,-0.15,96,2026-08-16
노트북,2,4,-2,2.714,-0.27,100,2026-08-16
레노버,1,4,-3,1.857,-0.363,60,2026-08-16
모니터,4,9,-5,5.286,-0.39,96,2026-08-16
sk하이닉스,1,1,0,2.0,-0.414,92,2026-08-16
딥엑스,1,15,-14,2.286,-0.512,20,2026-08-16
xr,1,6,-5,2.429,-0.558,78,2026-08-16
lg디스플레이,2,8,-6,3.857,-0.627,154,2026-08-16
애플,10,7,3,13.857,-0.817,295,2026-08-16
tv,4,5,-1,7.0,-0.823,158,2026-08-16
구글,1,1,0,3.571,-0.89,88,2026-08-16
삼성전자,9,28,-19,14.286,-1.106,328,2026-08-16
디스플레이,2,14,-12,5.857,-1.128,229,2026-08-16
양산,1,14,-13,5.0,-1.236,64,2026-08-16
lg전자,4,12,-8,9.286,-1.306,264,2026-08-16
oled,2,8,-6,7.429,-1.457,348,2026-08-16
lg전자,13,4,9,10.0,0.721,273,2026-08-17
qualcomm,1,0,1,0.143,0.622,1,2026-08-17
bmw,1,1,0,0.286,0.465,16,2026-08-17
4k,1,0,1,0.429,0.345,4,2026-08-17
픽셀,2,0,2,1.286,0.335,14,2026-08-17
소니,1,0,1,0.571,0.244,12,2026-08-17
sk하이닉스,2,1,1,1.571,0.19,92,2026-08-17
tsmc,1,0,1,0.714,0.155,18,2026-08-17
샤오미,1,0,1,0.714,0.155,13,2026-08-17
퀄컴,1,2,-1,1.143,-0.069,39,2026-08-17
공급망,1,0,1,1.286,-0.134,52,2026-08-17
엔비디아,4,5,-1,4.429,-0.138,88,2026-08-17
노트북,2,2,0,2.571,-0.219,99,2026-08-17
수율,1,0,1,1.571,-0.254,15,2026-08-17
갤럭시,3,0,3,3.857,-0.289,285,2026-08-17
구글,2,1,1,3.857,-0.627,88,2026-08-17
애플,9,10,-1,12.0,-0.672,286,2026-08-17
lg디스플레이,2,2,0,4.143,-0.706,156,2026-08-17
인텔,1,0,1,3.0,-0.732,32,2026-08-17
스마트폰,1,3,-2,3.143,-0.773,94,2026-08-17
아이폰,1,0,1,3.571,-0.89,73,2026-08-17
tv,2,4,-2,6.714,-1.313,158,2026-08-17
디스플레이,1,2,-1,5.857,-1.42,228,2026-08-17
삼성전자,7,9,-2,14.571,-1.572,331,2026-08-17
oled,1,2,-1,7.143,-1.673,345,2026-08-17
폴더블,2,0,2,9.429,-1.825,212,2026-08-17
oled,11,1,10,8.143,0.741,355,2026-08-18
비보,1,0,1,0.143,0.622,5,2026-08-18
생산량,1,0,1,0.143,0.622,2,2026-08-18
qualcomm,1,1,0,0.286,0.465,2,2026-08-18
엔비디아,6,4,2,4.714,0.405,91,2026-08-18
kaist,1,0,1,0.429,0.345,26,2026-08-18
메타,1,0,1,0.571,0.244,30,2026-08-18
노트북,3,2,1,2.429,0.223,100,2026-08-18
삼성디스플레이,1,0,1,0.714,0.155,57,2026-08-18
삼성전자,17,7,10,16.286,0.142,345,2026-08-18
애플,11,9,2,10.429,0.135,285,2026-08-18
모니터,6,0,6,5.571,0.128,99,2026-08-18
tsmc,1,1,0,0.857,0.074,19,2026-08-18
공급망,1,1,0,1.0,0.0,53,2026-08-18
xr,2,0,2,2.143,-0.058,74,2026-08-18
