term,cur,prev,diff,ma7,z_like,total
인텔,7,1,6,2.143,1.971,36
노트북,9,6,3,4.286,1.535,140
카카오,3,0,3,0.571,1.383,12
기아,3,0,3,1.0,1.0,50
수율,2,1,1,0.429,0.95,11
아이폰,3,1,2,1.571,0.634,110
고해상도,1,0,1,0.143,0.622,5
애플워치,1,0,1,0.143,0.622,4
현대모비스,1,0,1,0.143,0.622,11
asus,2,1,1,1.0,0.5,16
amd,1,0,1,0.286,0.465,13
sharp,1,0,1,0.286,0.465,6
비보,1,0,1,0.286,0.465,2
tsmc,1,0,1,0.429,0.345,19
메타,1,0,1,0.429,0.345,30
sk하이닉스,4,2,2,3.143,0.309,84
퀄컴,1,0,1,0.714,0.155,12
4k,1,1,0,0.714,0.155,15
모바일,1,0,1,1.0,0.0,59
퀀텀닷,2,13,-11,2.143,-0.058,15
lg디스플레이,8,33,-25,8.429,-0.11,132
ar,1,3,-2,1.286,-0.134,51
엔비디아,1,3,-2,1.429,-0.195,88
공급망,2,2,0,2.571,-0.219,39
tv,7,5,2,8.857,-0.467,433
xr,3,12,-9,4.857,-0.58,123
lg전자,5,4,1,7.429,-0.652,261
폴더블,3,2,1,6.0,-0.87,160
스마트폰,1,6,-5,3.714,-0.927,123
애플,5,5,0,8.714,-0.94,261
삼성디스플레이,1,0,1,4.429,-1.104,108
삼성전자,10,17,-7,17.0,-1.366,519
벤츠,1,0,1,6.571,-1.563,52
oled,7,25,-18,16.571,-1.888,377
디스플레이,4,36,-32,14.429,-2.173,228
