term,cur,prev,diff,ma7,z_like,total,date
디스플레이,26,14,12,10.286,3.735,205,2026-07-03
etri,9,0,9,1.286,3.615,26,2026-07-03
oled,20,4,16,7.429,3.374,258,2026-07-03
sk하이닉스,9,1,8,3.286,2.032,87,2026-07-03
메타,4,3,1,1.0,1.5,33,2026-07-03
amd,3,0,3,0.571,1.383,10,2026-07-03
비보,2,0,2,0.429,0.95,7,2026-07-03
카카오,2,1,1,0.429,0.95,10,2026-07-03
tv,8,1,7,5.0,0.927,279,2026-07-03
구글,3,1,2,1.143,0.898,48,2026-07-03
폴더블,7,16,-9,4.286,0.884,107,2026-07-03
게이밍모니터,2,0,2,0.571,0.814,13,2026-07-03
양산,3,2,1,1.286,0.803,37,2026-07-03
인텔,2,0,2,0.714,0.697,34,2026-07-03
모니터,6,7,-1,4.0,0.667,92,2026-07-03
8k,1,0,1,0.143,0.622,1,2026-07-03
qled,1,0,1,0.143,0.622,1,2026-07-03
노키아,1,0,1,0.143,0.622,1,2026-07-03
잉크젯,1,0,1,0.143,0.622,3,2026-07-03
패드,1,0,1,0.143,0.622,1,2026-07-03
편광판,1,0,1,0.143,0.622,1,2026-07-03
프로아트,1,0,1,0.143,0.622,12,2026-07-03
픽셀,1,0,1,0.143,0.622,1,2026-07-03
boe,2,1,1,0.857,0.593,38,2026-07-03
엔비디아,4,4,0,2.571,0.549,137,2026-07-03
기아,3,4,-1,1.857,0.484,19,2026-07-03
고효율,1,0,1,0.286,0.465,4,2026-07-03
tsmc,1,1,0,0.286,0.465,17,2026-07-03
hp,2,2,0,1.143,0.414,23,2026-07-03
벤큐,1,1,0,0.429,0.345,8,2026-07-03
현대모비스,1,2,-1,0.429,0.345,6,2026-07-03
아이폰,3,0,3,2.286,0.284,75,2026-07-03
레노버,3,1,2,2.286,0.284,79,2026-07-03
csot,1,0,1,0.714,0.155,9,2026-07-03
태블릿,1,0,1,0.714,0.155,16,2026-07-03
sharp,1,1,0,0.714,0.155,18,2026-07-03
모바일,1,2,-1,0.857,0.074,28,2026-07-03
lg전자,7,5,2,6.857,0.039,282,2026-07-03
애플,14,9,5,14.143,-0.03,291,2026-07-03
4k,1,6,-5,1.143,-0.069,14,2026-07-03
ar,2,1,1,2.429,-0.168,46,2026-07-03
xr,1,3,-2,1.571,-0.254,145,2026-07-03
삼성전자,6,14,-8,7.286,-0.348,384,2026-07-03
갤럭시,1,6,-5,2.143,-0.464,52,2026-07-03
맥북,2,0,2,3.429,-0.501,44,2026-07-03
노트북,1,1,0,2.286,-0.512,104,2026-07-03
아이패드,1,0,1,3.0,-0.732,29,2026-07-03
스마트폰,1,5,-4,3.143,-0.773,77,2026-07-03
lg디스플레이,1,5,-4,3.571,-0.89,119,2026-07-03
아이폰,7,3,4,2.857,1.54,80,2026-07-04
폴더블,9,7,2,5.286,1.126,114,2026-07-04
구글,3,3,0,1.429,0.716,51,2026-07-04
sharp,2,1,1,0.714,0.697,19,2026-07-04
도우인시스,1,0,1,0.143,0.622,7,2026-07-04
딥엑스,1,0,1,0.143,0.622,4,2026-07-04
아마존,1,0,1,0.143,0.622,5,2026-07-04
xr,3,1,2,1.714,0.557,136,2026-07-04
갤럭시,4,1,3,2.571,0.549,54,2026-07-04
샤오미,1,0,1,0.286,0.465,7,2026-07-04
에어팟,1,0,1,0.286,0.465,13,2026-07-04
오포,1,0,1,0.286,0.465,7,2026-07-04
노키아,1,1,0,0.286,0.465,2,2026-07-04
모바일,2,1,1,1.143,0.414,30,2026-07-04
양산,2,3,-1,1.286,0.335,37,2026-07-04
현대모비스,1,1,0,0.571,0.244,7,2026-07-04
카카오,1,2,-1,0.571,0.244,11,2026-07-04
boe,1,2,-1,1.0,0.0,36,2026-07-04
삼성디스플레이,1,0,1,1.286,-0.134,38,2026-07-04
hp,1,2,-1,1.286,-0.134,24,2026-07-04
sk하이닉스,3,9,-6,3.429,-0.15,87,2026-07-04
노트북,2,1,1,2.429,-0.168,103,2026-07-04
tcl,1,0,1,1.429,-0.195,31,2026-07-04
삼성전자,6,6,0,6.857,-0.237,380,2026-07-04
lg디스플레이,2,1,1,3.143,-0.412,121,2026-07-04
tv,3,8,-5,4.286,-0.419,280,2026-07-04
애플,11,14,-3,13.286,-0.492,298,2026-07-04
엔비디아,1,4,-3,2.286,-0.512,127,2026-07-04
스마트폰,1,1,0,3.0,-0.732,78,2026-07-04
디스플레이,7,26,-19,10.714,-0.869,210,2026-07-04
lg전자,3,7,-4,6.0,-0.87,270,2026-07-04
oled,4,20,-16,7.286,-0.888,254,2026-07-04
삼성전자,13,6,7,8.286,1.215,357,2026-07-05
byd,1,0,1,0.571,0.244,17,2026-07-05
인텔,1,0,1,0.571,0.244,28,2026-07-05
카카오,1,1,0,0.714,0.155,12,2026-07-05
현대모비스,1,1,0,0.714,0.155,8,2026-07-05
lg전자,6,3,3,6.143,-0.041,267,2026-07-05
메타,1,0,1,1.143,-0.069,27,2026-07-05
모바일,1,2,-1,1.143,-0.069,31,2026-07-05
tv,4,3,1,4.286,-0.093,248,2026-07-05
엔비디아,2,1,1,2.429,-0.168,125,2026-07-05
노트북,2,2,0,2.429,-0.168,94,2026-07-05
구글,1,3,-2,1.571,-0.254,49,2026-07-05
맥북,1,0,1,2.0,-0.414,44,2026-07-05
스마트폰,1,1,0,2.857,-0.69,77,2026-07-05
아이폰,1,7,-6,3.0,-0.732,79,2026-07-05
lg디스플레이,1,2,-1,3.143,-0.773,120,2026-07-05
sk하이닉스,1,3,-2,3.286,-0.813,87,2026-07-05
폴더블,2,9,-7,5.571,-1.063,115,2026-07-05
애플,6,11,-5,11.143,-1.186,295,2026-07-05
oled,2,4,-2,7.286,-1.429,231,2026-07-05
xr,8,0,8,2.286,2.275,136,2026-07-06
lg화학,4,0,4,0.571,1.953,6,2026-07-06
노트북,6,2,4,2.571,1.317,100,2026-07-06
갤럭시,6,0,6,3.143,1.03,56,2026-07-06
스마트폰,5,1,4,3.0,0.732,80,2026-07-06
올레드,1,0,1,0.143,0.622,32,2026-07-06
kaist,1,0,1,0.286,0.465,12,2026-07-06
기아,2,0,2,1.429,0.26,21,2026-07-06
삼성전자,10,13,-3,9.429,0.14,359,2026-07-06
모바일,1,1,0,1.143,-0.069,31,2026-07-06
lg전자,6,6,0,6.429,-0.121,271,2026-07-06
삼성디스플레이,1,0,1,1.429,-0.195,38,2026-07-06
아이폰,2,1,1,3.143,-0.412,80,2026-07-06
sk하이닉스,2,1,1,3.429,-0.501,89,2026-07-06
엔비디아,1,2,-1,2.429,-0.558,115,2026-07-06
tv,2,4,-2,4.143,-0.706,238,2026-07-06
폴더블,3,2,1,5.857,-0.835,116,2026-07-06
oled,4,2,2,7.286,-0.888,222,2026-07-06
애플,5,6,-1,9.429,-1.088,293,2026-07-06
디스플레이,4,0,4,10.571,-1.546,200,2026-07-06
노트북,12,6,6,3.857,2.747,110,2026-07-07
폴더블,17,3,14,8.143,2.298,133,2026-07-07
삼성전자,20,10,10,11.714,1.873,377,2026-07-07
lg전자,13,6,7,7.0,1.646,280,2026-07-07
공급망,5,0,5,1.714,1.423,49,2026-07-07
애플,16,5,11,10.143,1.4,308,2026-07-07
레노버,4,0,4,1.143,1.381,66,2026-07-07
아이폰,7,2,5,3.714,1.122,87,2026-07-07
하이센스,2,0,2,0.286,1.117,46,2026-07-07
xr,5,8,-3,2.857,0.797,140,2026-07-07
bmw,1,0,1,0.143,0.622,18,2026-07-07
fhd,1,0,1,0.143,0.622,3,2026-07-07
miniled,1,0,1,0.143,0.622,1,2026-07-07
뷰소닉,1,0,1,0.143,0.622,1,2026-07-07
생산량,1,0,1,0.143,0.622,1,2026-07-07
lcd,2,0,2,0.857,0.593,19,2026-07-07
ald,1,0,1,0.286,0.465,2,2026-07-07
csot,1,0,1,0.286,0.465,10,2026-07-07
잉크젯,1,0,1,0.286,0.465,4,2026-07-07
스마트폰,4,5,-1,3.0,0.366,83,2026-07-07
노키아,1,0,1,0.429,0.345,3,2026-07-07
ar,2,0,2,1.286,0.335,47,2026-07-07
메타,2,0,2,1.429,0.26,28,2026-07-07
sk하이닉스,4,2,2,3.429,0.2,92,2026-07-07
아이패드,1,0,1,0.714,0.155,30,2026-07-07
퀄컴,1,0,1,0.714,0.155,27,2026-07-07
oled,8,4,4,7.571,0.114,230,2026-07-07
hp,1,0,1,1.0,0.0,25,2026-07-07
엔비디아,2,1,1,2.143,-0.058,112,2026-07-07
양산,1,0,1,1.429,-0.195,37,2026-07-07
삼성디스플레이,1,1,0,1.429,-0.195,39,2026-07-07
기아,1,2,-1,1.571,-0.254,22,2026-07-07
tv,3,2,1,3.857,-0.289,237,2026-07-07
디스플레이,10,4,6,11.286,-0.295,209,2026-07-07
모니터,2,0,2,2.857,-0.319,81,2026-07-07
갤럭시,2,6,-4,3.143,-0.412,58,2026-07-07
삼성전자,30,20,10,14.143,3.331,396,2026-07-08
lg화학,9,0,9,1.857,3.023,15,2026-07-08
lg전자,17,13,4,8.143,2.298,292,2026-07-08
아마존,4,0,4,0.714,1.781,8,2026-07-08
엔비디아,7,2,5,3.0,1.464,107,2026-07-08
ar,4,2,2,1.286,1.272,51,2026-07-08
선익시스템,2,0,2,0.286,1.117,25,2026-07-08
올레드,2,0,2,0.429,0.95,33,2026-07-08
csot,2,1,1,0.571,0.814,12,2026-07-08
하이센스,2,2,0,0.571,0.814,48,2026-07-08
모니터,5,2,3,2.857,0.797,85,2026-07-08
dell,1,0,1,0.143,0.622,3,2026-07-08
nvidia,1,0,1,0.143,0.622,2,2026-07-08
postech,1,0,1,0.143,0.622,2,2026-07-08
화웨이,1,0,1,0.143,0.622,6,2026-07-08
sharp,2,0,2,0.857,0.593,19,2026-07-08
byd,1,0,1,0.286,0.465,18,2026-07-08
kaist,1,0,1,0.286,0.465,13,2026-07-08
bmw,1,1,0,0.286,0.465,18,2026-07-08
miniled,1,1,0,0.286,0.465,2,2026-07-08
생산량,1,1,0,0.286,0.465,2,2026-07-08
oled,9,8,1,7.286,0.463,229,2026-07-08
hp,2,1,1,1.143,0.414,27,2026-07-08
amd,1,0,1,0.571,0.244,9,2026-07-08
인텔,1,0,1,0.571,0.244,29,2026-07-08
lg디스플레이,2,0,2,1.571,0.19,118,2026-07-08
카카오,1,0,1,0.857,0.074,13,2026-07-08
퀄컴,1,1,0,0.857,0.074,27,2026-07-08
스마트폰,3,4,-1,2.857,0.053,85,2026-07-08
tcl,1,0,1,1.0,0.0,27,2026-07-08
갤럭시,3,2,1,3.143,-0.052,61,2026-07-08
모바일,1,0,1,1.143,-0.069,32,2026-07-08
sk하이닉스,3,4,-1,3.286,-0.102,95,2026-07-08
xr,3,5,-2,3.286,-0.102,142,2026-07-08
구글,1,0,1,1.286,-0.134,43,2026-07-08
레노버,1,4,-3,1.286,-0.134,67,2026-07-08
기아,1,1,0,1.571,-0.254,23,2026-07-08
메타,1,2,-1,1.571,-0.254,29,2026-07-08
노트북,3,12,-9,3.857,-0.289,111,2026-07-08
폴더블,7,17,-10,8.714,-0.434,140,2026-07-08
애플,8,16,-8,9.857,-0.449,312,2026-07-08
아이폰,1,7,-6,3.0,-0.732,88,2026-07-08
tv,1,3,-2,3.143,-0.773,228,2026-07-08
디스플레이,4,10,-6,9.286,-1.306,206,2026-07-08
kaist,12,1,11,2.0,4.142,25,2026-07-09
디스플레이,27,4,23,11.143,3.655,227,2026-07-09
tv,13,1,12,4.857,2.542,239,2026-07-09
갤럭시,11,3,8,3.857,2.41,72,2026-07-09
삼성전자,28,30,-2,16.143,2.363,418,2026-07-09
스트레처블,5,0,5,0.714,2.323,5,2026-07-09
폴더블,13,7,6,8.286,1.215,147,2026-07-09
스마트폰,6,3,3,3.0,1.098,90,2026-07-09
tsmc,2,0,2,0.429,0.95,17,2026-07-09
도우인시스,2,0,2,0.429,0.95,7,2026-07-09
tcl,2,1,1,0.571,0.814,28,2026-07-09
양산,3,0,3,1.286,0.803,39,2026-07-09
아이폰,6,1,5,3.857,0.723,88,2026-07-09
boe,2,0,2,0.714,0.697,35,2026-07-09
사이니지,1,0,1,0.143,0.622,9,2026-07-09
소니,1,0,1,0.143,0.622,5,2026-07-09
모니터,4,5,-1,2.429,0.614,88,2026-07-09
인텔,2,1,1,0.857,0.593,30,2026-07-09
공급망,2,0,2,1.0,0.5,51,2026-07-09
4k,1,0,1,0.286,0.465,13,2026-07-09
샤오미,1,0,1,0.286,0.465,8,2026-07-09
애플,12,8,4,10.286,0.407,303,2026-07-09
miniled,1,1,0,0.429,0.345,3,2026-07-09
퀄컴,1,1,0,0.429,0.345,27,2026-07-09
구글,2,1,1,1.429,0.26,42,2026-07-09
삼성디스플레이,1,0,1,0.571,0.244,39,2026-07-09
현대모비스,1,0,1,0.571,0.244,9,2026-07-09
xr,4,3,1,3.429,0.2,143,2026-07-09
amd,1,1,0,0.714,0.155,10,2026-07-09
하이센스,1,2,-1,0.714,0.155,49,2026-07-09
카카오,1,1,0,0.857,0.074,14,2026-07-09
sharp,1,2,-1,0.857,0.074,20,2026-07-09
lg전자,9,17,-8,8.714,0.072,300,2026-07-09
엔비디아,3,7,-4,2.857,0.053,100,2026-07-09
모바일,1,1,0,1.0,0.0,33,2026-07-09
hp,1,2,-1,1.0,0.0,28,2026-07-09
lg디스플레이,1,2,-1,1.0,0.0,116,2026-07-09
기아,1,1,0,1.143,-0.069,24,2026-07-09
메타,1,1,0,1.286,-0.134,28,2026-07-09
lg화학,1,9,-8,2.0,-0.414,16,2026-07-09
oled,5,9,-4,7.429,-0.652,228,2026-07-09
노트북,2,3,-1,4.0,-0.667,111,2026-07-09
