term,cur,prev,diff,total,ma7,z_like
삼성디스플레이,18,0,18,115,3.571,4.993
lg디스플레이,20,2,18,127,5.857,4.135
4k,4,0,4,13,0.571,1.953
구글,5,0,5,72,1.429,1.627
레노버,5,0,5,99,2.286,1.081
엔비디아,4,0,4,63,1.714,0.99
화웨이,2,0,2,19,0.429,0.95
ar,2,1,1,51,0.429,0.95
모니터,5,1,4,100,3.143,0.67
benq,1,0,1,1,0.143,0.622
harman,1,0,1,1,0.143,0.622
ase,1,0,1,2,0.143,0.622
capex,1,0,1,2,0.143,0.622
fmm,1,0,1,3,0.143,0.622
스마트워치,1,0,1,7,0.143,0.622
주사율,1,0,1,9,0.143,0.622
벤큐,1,0,1,2,0.286,0.465
패드,1,0,1,2,0.286,0.465
샤오미,1,0,1,11,0.429,0.345
올레드,1,0,1,21,0.571,0.244
tsmc,1,0,1,26,0.571,0.244
아이패드,1,0,1,28,0.571,0.244
아마존,1,0,1,7,0.714,0.155
xr,2,2,0,96,1.857,0.06
카카오,1,1,0,17,1.0,0.0
sk하이닉스,1,0,1,49,1.0,0.0
벤츠,1,0,1,65,1.143,-0.069
hp,1,0,1,48,1.857,-0.363
lg전자,3,3,0,306,7.714,-1.248
