term,cur,prev,diff,total,ma7,z_like
롤러블,1,0,1,1,0.143,0.622
알파벳,1,0,1,7,0.143,0.622
설비투자,1,0,1,5,0.286,0.465
lg화학,1,0,1,7,0.286,0.465
소니,1,0,1,17,0.429,0.345
스마트폰,5,0,5,86,4.0,0.333
ar,1,0,1,27,0.714,0.155
양산,2,0,2,22,1.714,0.124
애플,6,3,3,203,6.0,0.0
sk하이닉스,1,1,0,35,1.143,-0.069
모바일,1,0,1,35,1.286,-0.134
인텔,1,1,0,49,1.286,-0.134
폴더블,2,1,1,64,2.571,-0.219
tv,7,2,5,326,8.857,-0.467
노트북,2,1,1,128,3.571,-0.544
oled,2,2,0,261,5.429,-1.03
엔비디아,1,0,1,104,4.143,-1.035
모니터,3,1,2,139,11.143,-1.877
