term,cur,prev,diff,ma7,z_like,total
lg,28,14,14,12.429,3.441,335
게이밍,10,5,5,2.857,2.655,28
현대모비스,5,0,5,0.714,2.323,25
애플,15,10,5,6.857,2.25,126
tsmc,5,0,5,1.0,2.0,19
삼성,29,25,4,19.0,1.866,466
폴더블,8,8,0,3.286,1.676,49
삼성디스플레이,4,0,4,0.857,1.632,36
samsung,3,0,3,0.429,1.554,6
아이패드,5,5,0,1.714,1.423,18
아이폰,6,2,4,2.714,1.241,40
asus,2,0,2,0.286,1.117,2
galaxy,2,0,2,0.286,1.117,2
세미파이브,2,0,2,0.286,1.117,2
sk하이닉스,3,1,2,0.857,1.113,30
공급망,3,0,3,1.143,0.898,16
비전프로,2,2,0,0.571,0.814,7
ar,3,0,3,1.286,0.803,36
삼성전자,23,48,-25,18.857,0.775,248
lg디스플레이,3,2,1,1.429,0.716,84
lg화학,1,0,1,0.143,0.622,5
z플립,1,0,1,0.143,0.622,1
증강현실,1,0,1,0.143,0.622,9
갤럭시,5,14,-9,3.571,0.494,47
필립스,1,1,0,0.286,0.465,2
oled,9,10,-1,7.429,0.422,175
고효율,1,0,1,0.429,0.345,4
양산,1,1,0,0.429,0.345,23
hp,1,1,0,0.571,0.244,4
현대차,2,3,-1,1.571,0.19,32
boe,1,3,-2,0.857,0.074,19
lg전자,9,10,-1,8.857,0.036,103
구글,1,6,-5,1.0,0.0,23
패널,1,1,0,1.429,-0.195,16
