org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
-OLED,3,5,3,2,9,3,3,3
...외모,0,0,0,0,3,0,0,18
0.03ms,1,4,4,9,4,4,4,3
000m2,2,4,5,3,2,6,5,3
0개,5,2,2,4,2,2,2,3
100배줌,7,3,2,2,3,1,2,2
1060원에,2,1,1,0,1,2,1,1
10년간,2,5,5,2,7,3,3,2
119플러스,2,3,4,2,0,2,1,1
122억,1,2,2,1,1,3,0,4
13개,4,2,3,2,6,4,0,2
13개사,2,1,1,1,3,2,0,1
1541억원,4,5,4,3,4,1,0,3
190억원을,1,5,6,4,1,6,2,2
1개월,4,5,4,3,4,1,0,3
1년만에,4,5,4,3,4,1,0,3
1만,0,0,0,0,0,1,0,1
1분기부터,1,5,7,3,2,3,5,1
1회,1,0,0,0,1,1,0,4
200만,3,3,4,5,4,3,4,6
2030년에는,2,5,3,3,3,3,7,1
20만명,0,1,2,1,0,2,0,1
2560x1440,1,4,4,9,4,4,4,3
25회계연도,1,5,1,1,0,2,2,2
2o,0,1,1,2,1,1,1,1
2세,2,1,1,0,1,2,1,1
2원화,5,5,2,1,2,1,1,2
2차전지,7,16,13,6,9,10,7,5
300은,0,1,2,0,1,1,7,1
30대,5,1,2,3,1,1,2,1
3D,5,1,3,5,3,2,2,6
3분기에,2,6,6,3,7,4,3,3
3사,6,8,7,6,7,6,6,6
3시간,6,8,7,6,7,6,6,6
3열,3,5,5,5,5,6,3,5
40대,5,1,2,3,1,1,2,1
455QA,1,5,4,5,2,5,6,2
455QA는,1,4,4,3,3,3,6,2
4K,1,4,4,11,3,4,5,3
4개팀이,0,1,2,1,1,0,0,2
4김태원의,0,0,0,0,3,0,0,18
500니트,0,1,1,2,1,1,0,0
5개월만,0,0,0,0,3,0,0,18
5는,3,5,5,5,5,6,3,5
6.5인치,10,7,4,4,3,5,6,2
647억,1,2,2,1,1,3,0,4
65조,4,5,4,3,4,1,0,3
6개월,2,1,1,0,1,2,1,1
6이닝,1,0,0,0,1,1,0,4
6회초,0,0,0,0,3,0,0,18
7개월,0,1,2,1,0,2,0,1
8.6G,0,9,4,2,3,4,2,0
8.6세대,2,27,15,8,18,13,8,8
8세대급,0,17,7,5,8,8,5,2
9개,2,4,5,4,7,1,3,6
AI폰,10,7,4,4,3,5,6,2
AMD,4,11,8,6,6,6,6,3
AOI,3,6,6,2,4,5,2,2
APEC,65,30,20,17,14,16,24,11
APEC서,10,7,4,4,3,5,6,2
AP시스템,0,26,12,7,11,12,8,3
AP시스템은,0,18,9,4,6,8,5,1
AP시스템의,0,8,3,2,4,4,2,1
AP시스템이,0,9,4,3,4,4,3,1
ASUS,1,4,4,9,4,4,4,3
AX,10,18,18,13,21,11,12,15
Alt,1,3,3,9,2,3,4,3
Aura,1,4,4,9,4,4,4,3
A주,0,5,5,3,2,5,2,2
B12,0,7,4,3,4,3,1,0
B2B,4,8,10,7,9,7,8,9
BMW,2,10,14,6,4,6,10,2
BOE,1,18,12,8,10,9,4,4
BOE가,3,5,3,2,9,3,3,3
BOE는,0,6,5,3,1,4,2,1
BOE의,3,11,8,5,10,7,5,4
BYD,3,6,4,1,0,4,2,4
BenQ,1,3,3,9,2,3,4,3
CEO,8,12,12,10,14,7,9,12
CES,1,5,4,2,6,3,2,3
CJ그룹은,3,5,5,5,5,6,3,5
CLENOX는,1,0,1,0,1,2,7,1
CSOT,1,14,7,4,8,6,3,3
CTO,2,4,5,4,7,1,3,6
Copyright,3,5,9,3,4,7,3,3
DB그룹,5,1,3,5,3,2,2,6
DCI-P3,1,3,3,9,2,3,4,3
DDIC,2,7,5,6,2,4,2,3
DIVE,8,4,7,10,7,5,6,12
DP,1,3,3,9,2,3,4,3
DS,3,7,6,4,5,7,1,2
DX,3,7,6,4,5,7,1,2
E-ONG,0,5,5,3,2,5,2,2
E-ONG의,0,5,5,3,2,5,2,2
EG110,0,8,4,8,3,6,6,2
EGM,0,8,4,8,3,6,6,2
ELA,0,35,16,9,14,16,10,3
ESG,5,9,14,6,6,13,8,6
ETF,0,1,2,1,0,2,0,1
EV,2,10,14,6,4,6,10,2
EV9은,3,5,5,5,5,6,3,5
EVA,3,1,1,1,3,1,0,1
EVA는,11,9,8,5,13,9,2,4
FD125와,0,8,4,8,3,6,6,2
G03-8236672469,0,1,2,1,1,0,0,2
GSMA,5,2,2,4,2,2,2,3
GV90은,2,10,14,6,4,6,10,2
GV90의,2,10,14,6,4,6,10,2
HBM,9,11,6,3,6,5,3,3
HB테크놀러지와,4,10,7,4,5,5,5,3
HDMI,2,7,7,18,6,7,8,6
HDR,1,3,3,9,2,3,4,3
HD현대일렉트릭,4,5,4,3,4,1,0,3
HJ중공업,3,7,6,4,5,7,1,2
HUD,2,9,7,6,6,7,12,4
Harman,3,7,6,4,5,7,1,2
He,1,3,6,3,1,5,5,3
ICT,2,4,5,4,7,1,3,6
IP,10,9,11,13,13,6,9,15
IPO,1,5,5,2,0,3,0,2
IT,11,19,15,10,17,13,10,10
IT용,1,5,4,2,6,3,2,3
IWB-F86N1,0,8,4,8,3,6,6,2
Il,1,3,6,3,1,5,5,3
JG,2,10,14,6,4,6,10,2
Jang-wook,1,3,6,3,1,5,5,3
KBO리그,0,0,0,0,3,0,0,18
KOSPI,4,6,4,2,4,4,2,1
KS-CQI,2,4,5,4,7,1,3,6
KT,8,12,12,10,14,7,9,12
LCD,8,16,14,6,20,11,8,7
LCoS,0,9,9,7,2,16,6,2
LED,9,33,27,26,17,29,42,14
LEDoS,2,7,5,6,2,4,2,3
LEDoS는,2,7,5,6,2,4,2,3
LED가,2,5,3,3,3,3,7,1
LG,11,17,21,12,16,19,14,58
LG디스플레이,29,73,77,38,83,47,44,48
LG디스플레이가,2,6,6,3,7,4,3,3
LG디스플레이는,7,20,20,11,27,11,11,14
LG디스플레이에,2,3,2,2,8,2,4,3
LG디스플레이의,5,10,8,4,16,6,6,5
LG유플러스,2,4,5,4,7,1,3,6
LG의,3,5,9,3,4,7,3,3
LG전자,13,28,30,25,22,27,20,17
LG화학,3,5,9,3,4,7,3,3
LG화학의,3,5,9,3,4,7,3,3
LLO,0,9,4,2,3,4,2,0
LTPO,0,17,9,7,8,8,3,0
LTPS,0,16,8,5,7,7,3,0
Labs,1,3,6,3,1,5,5,3
Laser,0,17,7,5,8,8,5,2
Lee,1,3,6,3,1,5,5,3
MK시그널은,1,5,6,4,1,6,2,2
MK시그널이,1,5,6,4,1,6,2,2
MWC,1,5,4,2,6,3,2,3
Micro-LED,2,5,4,4,3,3,7,1
Mode,1,3,3,9,2,3,4,3
MyV,1,3,6,3,1,5,5,3
NAND,3,7,6,4,5,7,1,2
NAVER,3,7,6,4,5,7,1,2
NB,1,0,0,0,2,3,15,2
NH투자증권을,3,7,6,4,5,7,1,2
NSP통신,0,1,2,1,1,0,0,2
ODM,1,3,6,3,1,5,5,3
OEM,1,3,6,3,1,5,5,3
OEM과의,3,6,4,1,0,4,2,4
OLED,60,229,210,136,163,169,141,96
OLED가,2,6,6,3,7,4,3,3
OLED를,2,12,9,5,11,6,4,2
OLED와,3,6,6,2,4,5,2,2
OSRAM,2,9,7,6,6,7,12,4
OSRAM은,3,14,11,11,8,12,18,6
Origin,5,1,3,5,3,2,2,6
P-Complex,1,0,0,0,1,2,8,1
PC,3,3,4,5,4,3,4,6
PD,1,3,3,9,2,3,4,3
PECVD,0,8,3,2,4,4,2,1
PLPM7,2,9,8,8,5,8,12,4
PS,4,6,4,2,4,4,2,1
Pin,3,2,5,0,5,8,37,5
Power,3,14,11,11,8,12,18,6
Powered,1,5,6,4,1,6,2,2
ProArt,1,3,3,9,2,3,4,3
QD-OLED,4,9,7,11,13,7,7,6
QHD,1,4,4,9,4,4,4,3
RCS,5,2,2,4,2,2,2,3
RCS는,5,2,2,4,2,2,2,3
RCS를,5,2,2,4,2,2,2,3
ROG,1,5,5,11,5,5,5,3
RPG,3,3,4,5,4,3,4,6
S23은,4,3,4,2,2,6,3,2
SDC,3,7,6,4,5,7,1,2
SFO,1,5,1,1,0,2,2,2
SID,1,5,4,2,6,3,2,3
SKT,8,11,11,8,7,8,7,7
SK하이닉스,11,15,13,8,15,15,3,5
SK하이닉스는,3,1,1,1,3,1,0,1
SK하이닉스의,4,6,4,2,4,4,2,1
SK하이닉스처럼,6,7,5,3,7,6,2,2
SS대전in,0,0,0,0,3,0,0,18
SS시선집중,0,0,0,0,3,0,0,18
STAR,8,4,7,13,7,8,6,12
SUV,5,15,19,11,9,12,13,7
Shot,3,2,5,0,5,8,37,5
Silicon,0,13,13,11,3,24,9,4
Strix,1,5,5,11,5,5,5,3
Sync,1,4,4,9,4,4,4,3
TFT,0,7,4,3,4,3,1,0
TFT가,0,7,4,3,4,3,1,0
TGV,4,10,7,4,5,5,5,3
The,0,1,1,1,0,0,2,0
Type-C,1,3,3,9,2,3,4,3
UHD,1,3,3,9,2,3,4,3
USB,2,7,7,18,6,7,8,6
V-Labs,1,3,6,3,1,5,5,3
V5,0,35,16,9,14,16,10,3
VESA,2,7,7,18,6,7,8,6
VLabs,1,3,6,3,1,5,5,3
Vegalas,1,4,4,3,3,3,6,2
VegalasTM,2,10,7,8,5,9,12,4
Visionox,0,27,13,7,10,12,8,2
WOLED,3,5,3,2,9,3,3,3
Wall,0,1,1,1,0,0,2,0
X7,2,10,14,6,4,6,10,2
XG27ACDMS,0,1,1,2,1,1,1,0
XG27AQDPG는,1,4,4,9,4,4,4,3
XG32UCWG,0,1,1,2,1,1,1,0
XTs,7,3,2,2,3,1,2,2
a-Si,0,9,4,2,3,4,2,0
advertisement,6,8,7,6,7,6,6,6
ams,4,19,15,15,10,15,24,8
ams오스람은,1,5,4,5,2,5,6,2
and,1,3,6,3,1,5,5,3
as,1,3,6,3,1,5,5,3
avec,1,3,6,3,1,5,5,3
bas,1,3,6,3,1,5,5,3
by,1,5,6,4,1,6,2,2
compenses,1,3,6,3,1,5,5,3
consommateurs,1,3,6,3,1,5,5,3
consommation,1,3,6,3,1,5,5,3
consumers,1,3,6,3,1,5,5,3
consumption,1,3,6,3,1,5,5,3
de,1,3,6,3,1,5,5,3
des,1,3,6,3,1,5,5,3
design,0,1,1,1,0,0,2,0
en,1,3,6,3,1,5,5,3
est,1,3,6,3,1,5,5,3
et,1,3,6,3,1,5,5,3
e스포츠,1,4,4,9,4,4,4,3
for,1,3,6,3,1,5,5,3
iLED,1,6,7,2,3,3,4,3
iOS,5,2,2,4,2,2,2,3
in,1,4,7,4,1,5,7,3
is,1,3,6,3,1,5,5,3
its,1,3,6,3,1,5,5,3
la,1,3,6,3,1,5,5,3
le,1,3,6,3,1,5,5,3
les,1,3,6,3,1,5,5,3
mAh,4,3,4,2,2,6,3,2
nits,4,3,4,2,2,6,3,2
o1,0,0,0,0,0,0,0,1
of,1,3,6,4,1,6,7,3
on,1,16,19,14,4,29,14,7
par,1,3,6,3,1,5,5,3
perplexity,1,5,6,4,1,6,2,2
plateforme,1,3,6,3,1,5,5,3
plus,1,3,6,3,1,5,5,3
product,1,3,6,3,1,5,5,3
produits,1,3,6,3,1,5,5,3
re,1,3,6,3,1,5,5,3
sRGB,1,3,3,9,2,3,4,3
simple,1,3,6,3,1,5,5,3
structure,1,3,6,3,1,5,5,3
sur,1,3,6,3,1,5,5,3
the,1,3,6,3,1,5,5,3
to,1,3,6,3,1,5,5,3
un,1,3,6,3,1,5,5,3
une,1,3,6,3,1,5,5,3
valeur,1,3,6,3,1,5,5,3
where,1,3,6,3,1,5,5,3
with,1,3,6,3,1,5,5,3
www.fpn119.co.kr,2,3,4,2,0,2,1,1
x2,1,4,4,9,4,4,4,3
가격,16,16,12,10,19,10,11,11
가격에,0,8,4,8,3,6,6,2
가격으로,2,9,5,8,4,8,7,3
가까이,5,5,2,1,2,1,1,2
가능성도,2,7,5,6,2,4,2,3
가능성을,6,13,11,6,5,7,6,4
가능성이,20,13,8,7,6,9,12,4
가능하다.,2,8,9,13,5,8,10,6
가능한,4,7,11,4,5,10,3,7
가동,5,5,2,1,2,1,1,2
가동을,5,5,2,1,2,1,1,2
가드닝,3,5,5,5,5,6,3,5
가운데,7,4,9,11,3,7,4,7
가입되어,1,2,2,1,1,3,0,4
가장,17,23,24,18,13,25,12,14
가전,2,4,5,3,2,6,5,3
가정,0,0,0,0,3,0,0,18
가정용,3,15,11,13,7,14,18,6
가치,2,1,1,0,1,2,1,1
각각,11,20,16,12,14,12,8,11
각국,10,7,4,3,2,3,5,2
각종,1,2,2,1,1,3,0,4
간담회는,2,3,4,2,0,2,1,1
감사했습니다,0,0,0,0,3,0,0,18
감소,2,3,2,2,8,2,4,3
강력한,5,7,8,11,6,10,7,5
강렬한,0,0,0,2,0,2,0,0
강화로,7,3,2,2,3,1,2,2
갖고,0,0,0,0,0,1,0,1
갖춘,2,7,7,18,6,7,8,6
갖춰,0,4,2,4,2,4,3,1
갖췄다.,1,3,3,9,2,3,4,3
같은,6,16,14,10,13,11,17,5
개발,6,17,17,14,6,18,10,6
개방형,5,2,2,4,2,2,2,3
개선을,2,5,5,2,7,3,3,2
개의,8,4,7,10,7,5,6,12
개최했다고,3,5,5,5,5,6,3,5
갤럭시,90,48,36,37,30,28,39,28
갤럭시Z,4,3,4,2,2,6,3,2
갤럭시의,5,1,2,3,1,1,2,1
거둔,1,0,0,0,1,1,0,4
거래,2,1,1,0,1,2,1,1
거래에서는,2,1,1,0,1,2,1,1
거래일,4,10,7,4,5,5,5,3
건지,0,0,0,0,0,1,0,1
검사,3,6,6,2,4,5,2,2
검색,3,7,6,4,5,7,1,2
것도,5,1,2,3,1,1,2,1
것으로,100,154,119,86,82,103,84,61
것은,7,2,1,1,2,0,1,1
것이란,0,6,5,3,1,4,2,1
게이밍,2,7,7,18,6,7,8,6
게임,14,15,17,27,17,12,11,24
게임으로,3,3,4,5,4,3,4,6
겨냥한,20,13,8,7,6,9,12,4
결과,1,2,2,1,1,3,0,4
결국,2,5,5,2,7,3,3,2
결정,7,3,2,2,3,1,2,2
결합해,1,5,3,3,3,4,6,2
경기,3,4,5,3,6,7,5,25
경기도,1,5,6,4,1,6,2,2
경기를,1,0,0,0,1,1,0,4
경기장,2,4,5,3,2,6,5,3
경기장의,2,4,5,3,2,6,5,3
경량화,3,6,4,1,0,4,2,4
경영,3,5,9,3,4,7,3,3
경영권,2,1,1,0,1,2,1,1
경영에,0,5,5,3,2,5,2,2
경우,5,2,2,4,2,2,2,3
경쟁,7,17,17,7,14,12,8,6
경쟁력을,1,5,3,2,5,2,1,3
경쟁사인,4,6,4,2,4,4,2,1
경쟁이,0,8,3,2,4,4,2,1
경쟁형,1,4,4,9,4,4,4,3
경제계,20,13,8,6,4,6,9,3
경주,10,7,4,4,3,5,6,2
경험을,5,10,11,5,6,11,7,5
계약,1,15,7,4,8,7,3,2
계약도,2,1,1,0,1,2,1,1
계약은,1,7,4,2,4,3,1,1
계약을,1,7,4,2,4,3,1,1
계열사,6,3,4,2,7,6,1,3
계획으로,1,5,5,2,0,3,0,2
계획이,2,1,1,0,1,2,1,1
계획이다.,7,21,19,12,17,15,7,13
고객,2,10,12,8,9,8,5,9
고객가치,2,4,5,4,7,1,3,6
고객사,3,6,6,2,4,5,2,2
고객사가,0,13,13,11,3,24,9,4
고객에게,0,1,2,1,0,2,0,1
고대역폭메모리,4,6,4,2,4,4,2,1
고령사회,2,0,0,0,0,1,1,1
고명암비,2,4,5,3,2,6,5,3
고성능,4,10,7,4,5,5,5,3
고용,1,2,2,1,1,3,0,4
고출력,5,24,19,20,12,20,30,10
고효율,2,4,5,3,2,6,5,3
고휘도,2,4,5,3,2,6,5,3
곡면,2,4,5,3,2,6,5,3
골든,3,5,5,5,5,6,3,5
공개,20,13,8,7,6,9,12,4
공개가,30,19,12,10,8,12,16,5
공개는,30,19,12,10,8,12,16,5
공개되는,10,7,4,3,2,3,5,2
공개하는,10,6,4,3,3,4,6,2
공공,2,3,4,2,0,2,1,1
공공과,2,3,4,2,0,2,1,1
공공기관의,0,4,2,4,2,4,3,1
공급,1,25,13,6,10,11,6,2
공급망,3,6,4,1,0,4,2,4
공급망에,1,5,1,1,0,2,2,2
공급망을,1,5,1,1,0,2,2,2
공급키로,0,8,3,2,4,4,2,1
