semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.5252
Automotive_Display_Topic,0.5010
Display_Materials_Topic,0.4888
Equipment_Maker,0.4768
Flexible_Display_Topic,0.4893
Foldable_Display_Topic,0.4984
Gaming_Monitor_Topic,0.4871
IT_OLED_Topic,0.4690
Material_Supplier,0.4657
MicroLED_Topic,0.5055
Panel_Manufacturer,0.4939
Platform_Company,0.4798
Quantum_Dot_Topic,0.4881
Set_Manufacturer,0.4939
Smartphone_Display_Topic,0.4907
TV_Display_Topic,0.4972
Transparent_Display_Topic,0.4943
XR_Device_Topic,0.5007
