date,semantic_key,topic_id,avg_sentiment,article_count
2026-01-22,Set_Manufacturer,0,0.4957,474
2026-01-22,Display_Materials_Topic,1,0.4963,388
2026-01-22,TV_Display_Topic,2,0.4958,390
2026-01-22,Gaming_Monitor_Topic,3,0.4961,395
2026-01-22,IT_OLED_Topic,4,0.4959,446
2026-01-22,Flexible_Display_Topic,5,0.4963,422
2026-01-22,Automotive_Display_Topic,6,0.496,428
2026-01-23,IT_OLED_Topic,0,0.5164,446
2026-01-23,Set_Manufacturer,1,0.5157,364
2026-01-23,Panel_Manufacturer,2,0.5154,348
2026-01-23,Display_Materials_Topic,3,0.5152,340
2026-01-23,Automotive_Display_Topic,4,0.5153,422
2026-01-23,TV_Display_Topic,5,0.5139,385
2026-01-23,Flexible_Display_Topic,6,0.5155,487
2026-01-23,Foldable_Display_Topic,7,0.5146,486
2026-01-23,Apple_Display_Topic,8,0.5152,403
2026-01-24,Transparent_Display_Topic,0,0.4944,322
2026-01-24,Set_Manufacturer,1,0.4943,283
2026-01-24,Automotive_Display_Topic,2,0.494,292
2026-01-24,Foldable_Display_Topic,3,0.4942,342
2026-01-24,Flexible_Display_Topic,4,0.4936,376
2026-01-24,TV_Display_Topic,5,0.4943,282
2026-01-25,Flexible_Display_Topic,0,0.5321,245
2026-01-25,Foldable_Display_Topic,1,0.5337,312
2026-01-26,Flexible_Display_Topic,0,0.4911,381
2026-01-26,Foldable_Display_Topic,1,0.4923,356
2026-01-26,TV_Display_Topic,2,0.4921,401
2026-01-26,Smartphone_Display_Topic,3,0.4916,371
2026-01-26,Display_Materials_Topic,4,0.4913,401
2026-01-26,Panel_Manufacturer,5,0.4914,391
2026-01-27,Foldable_Display_Topic,0,0.5355,445
2026-01-27,Smartphone_Display_Topic,1,0.5364,275
2026-01-27,Flexible_Display_Topic,2,0.5359,420
2026-01-27,TV_Display_Topic,3,0.5358,429
2026-01-27,Automotive_Display_Topic,4,0.536,278
2026-01-27,Transparent_Display_Topic,5,0.5354,402
2026-01-27,Panel_Manufacturer,6,0.5355,416
2026-01-27,Display_Materials_Topic,7,0.5355,422
2026-01-28,Panel_Manufacturer,0,0.5392,424
2026-01-28,Smartphone_Display_Topic,1,0.54,295
2026-01-28,Display_Materials_Topic,2,0.5399,401
2026-01-28,OLED_Topic,3,0.5391,404
2026-01-28,Flexible_Display_Topic,4,0.5393,406
2026-01-28,Set_Manufacturer,5,0.5392,421
2026-01-28,Foldable_Display_Topic,6,0.5389,376
2026-01-28,TV_Display_Topic,7,0.5394,363
2026-01-28,MicroLED_Topic,8,0.5395,454
2026-01-28,Platform_Company,9,0.5394,344
2026-01-29,Set_Manufacturer,0,0.5193,456
2026-01-29,Display_Materials_Topic,1,0.519,513
2026-01-29,TV_Display_Topic,2,0.5192,518
2026-01-29,Panel_Manufacturer,3,0.5191,488
2026-01-30,Panel_Manufacturer,0,0.5004,347
2026-01-30,Automotive_Display_Topic,1,0.501,316
2026-01-30,Set_Manufacturer,2,0.5004,441
2026-01-30,Flexible_Display_Topic,3,0.5003,433
2026-01-30,Foldable_Display_Topic,4,0.4999,372
2026-01-31,Automotive_Display_Topic,0,0.5416,231
2026-01-31,Set_Manufacturer,1,0.5415,327
2026-01-31,Display_Materials_Topic,2,0.5417,305
2026-02-01,XR_Device_Topic,0,0.4995,199
2026-02-01,Display_Materials_Topic,1,0.4968,278
