term,cur,diff,z_like
oled,29,24,4.81
fhd,10,10,3.45
lg전자,22,15,2.74
엔비디아,17,9,2.63
디스플레이,15,11,2.37
폴더블,17,7,2.35
아이폰,12,5,1.80
hp,5,5,1.52
공급망,4,3,1.50
화웨이,4,3,1.50
