term,cur,prev,diff,total,ma7,z_like
갤럭시,13,2,11,76,2.714,3.885
asus,6,0,6,23,1.143,2.348
모바일,6,2,4,49,1.143,2.348
dell,4,0,4,6,0.714,1.781
태블릿,5,0,5,18,1.571,1.521
퀄컴,3,0,3,37,0.714,1.239
카카오,3,1,2,11,0.857,1.113
양산,2,2,0,24,0.714,0.697
galaxy,1,0,1,1,0.143,0.622
ul,1,0,1,1,0.143,0.622
봉지,1,0,1,1,0.143,0.622
capex,1,0,1,2,0.143,0.622
apple,1,0,1,4,0.143,0.622
amd,1,0,1,19,0.143,0.622
lcd,2,1,1,20,0.857,0.593
생산량,1,0,1,2,0.286,0.465
증착기,1,1,0,4,0.286,0.465
tcl,1,1,0,15,0.286,0.465
기아,1,1,0,32,0.429,0.345
vr,1,0,1,15,0.571,0.244
샤오미,1,0,1,21,0.571,0.244
스마트폰,4,2,2,86,3.714,0.098
lg디스플레이,4,2,2,90,3.714,0.098
구글,2,0,2,39,1.857,0.06
인텔,2,2,0,51,2.0,0.0
sk하이닉스,2,1,1,42,2.429,-0.168
공급망,1,1,0,28,1.429,-0.195
삼성디스플레이,1,0,1,123,4.143,-1.035
