term,cur,prev,diff,ma7,z_like,total
갤럭시,44,18,26,11.857,7.234,147
lg전자,25,4,21,10.714,3.343,253
선익시스템,11,0,11,3.0,2.928,43
엔비디아,17,9,8,7.571,2.513,99
에릭슨,2,0,2,0.286,1.117,2
hp,6,10,-4,3.0,1.098,46
삼성전자,18,4,14,13.143,1.05,410
xr,5,6,-1,2.857,0.797,72
lg디스플레이,6,0,6,3.857,0.723,131
ar,2,0,2,0.714,0.697,42
galaxy,1,0,1,0.143,0.622,2
올레드,1,0,1,0.143,0.622,7
하이센스,1,0,1,0.143,0.622,13
amd,2,1,1,0.857,0.593,14
모니터,7,3,4,5.143,0.568,93
oled,15,6,9,12.714,0.501,284
모바일,3,5,-2,1.857,0.484,33
4k,1,0,1,0.286,0.465,2
nvidia,1,0,1,0.286,0.465,5
기아,1,1,0,0.286,0.465,12
현대모비스,1,1,0,0.286,0.465,41
asus,1,0,1,0.429,0.345,10
퀄컴,1,1,0,0.571,0.244,12
파나소닉,2,9,-7,1.571,0.19,11
맥북,1,0,1,0.714,0.155,23
수율,1,0,1,0.714,0.155,6
양산,2,0,2,1.714,0.124,65
스마트폰,3,3,0,2.714,0.108,69
sk온,1,0,1,0.857,0.074,7
lcd,1,1,0,1.0,0.0,61
인텔,1,1,0,1.0,0.0,68
boe,3,2,1,3.143,-0.052,41
레노버,1,4,-3,1.286,-0.134,15
아이폰,1,3,-2,1.571,-0.254,59
디스플레이,12,9,3,14.143,-0.45,254
애플,4,7,-3,5.571,-0.468,170
노트북,4,9,-5,5.714,-0.506,109
삼성디스플레이,1,1,0,3.429,-0.852,47
tv,9,19,-10,15.429,-1.305,306
