term,cur,prev,diff,ma7,z_like,total
lg전자,31,24,7,13.0,3.908,273
kaist,9,1,8,1.429,3.449,26
퀄컴,10,0,10,1.857,3.446,35
인텔,5,1,4,1.286,1.741,55
아이폰,4,2,2,1.286,1.272,67
노트북,7,1,6,3.429,1.252,100
하이센스,2,0,2,0.286,1.117,10
hp,3,1,2,0.857,1.113,24
스마트폰,8,6,2,4.857,0.981,90
삼성디스플레이,3,1,2,1.286,0.803,148
엔비디아,5,3,2,2.857,0.797,116
디스플레이,8,7,1,5.714,0.674,199
ald,1,0,1,0.143,0.622,1
hdr,1,0,1,0.143,0.622,1
마이크로소프트,1,0,1,0.143,0.622,9
미디어텍,1,0,1,0.143,0.622,2
오포,1,0,1,0.143,0.622,4
xr,5,2,3,3.429,0.551,106
tsmc,2,2,0,1.0,0.5,20
공급망,1,0,1,0.286,0.465,22
woled,1,1,0,0.286,0.465,3
선익시스템,1,1,0,0.286,0.465,15
sk하이닉스,3,6,-3,2.0,0.414,53
샤오미,1,2,-1,0.571,0.244,13
폴더블,4,3,1,3.429,0.2,101
모바일,1,0,1,0.857,0.074,42
boe,1,2,-1,0.857,0.074,35
ar,1,2,-1,1.0,0.0,37
주사율,1,5,-4,1.0,0.0,9
애플,6,8,-2,6.143,-0.041,211
고성능,1,1,0,1.571,-0.254,26
갤럭시,2,5,-3,3.0,-0.366,74
tv,5,8,-3,6.571,-0.441,199
lg디스플레이,3,11,-8,5.286,-0.693,122
기아,3,11,-8,6.0,-0.87,72
모니터,2,12,-10,5.143,-0.962,103
벤츠,2,2,0,5.286,-0.996,151
구글,1,3,-2,4.429,-1.104,63
현대모비스,1,2,-1,4.571,-1.138,55
삼성전자,3,8,-5,9.571,-1.605,376
oled,1,22,-21,8.857,-1.976,285
