term,cur,prev,diff,total,ma7,z_like
삼성전자,12,13,-1,604,18.571,-1.238
lg전자,7,8,-1,233,10.571,-0.84
tv,5,3,2,326,7.571,-0.685
sk하이닉스,3,1,2,49,2.143,0.348
xr,3,2,1,108,3.0,0.0
노트북,3,2,1,133,3.857,-0.289
스마트폰,3,3,0,84,3.857,-0.289
구글,3,0,3,56,4.429,-0.46
애플,3,4,-1,222,5.429,-0.729
공급망,2,0,2,52,1.429,0.26
폴더블,2,0,2,88,2.571,-0.219
엔비디아,2,4,-2,85,5.857,-1.128
oled,2,0,2,339,8.571,-1.673
sharp,1,0,1,8,0.143,0.622
apple,1,0,1,3,0.143,0.622
nvidia,1,0,1,2,0.143,0.622
google,1,0,1,1,0.143,0.622
맥북,1,0,1,10,0.286,0.465
amd,1,0,1,15,0.429,0.345
bmw,1,0,1,9,0.429,0.345
lg화학,1,0,1,8,0.429,0.345
아마존,1,1,0,11,0.714,0.155
ar,1,1,0,31,1.0,0.0
hp,1,0,1,66,1.143,-0.069
모바일,1,0,1,33,1.857,-0.363
모니터,1,1,0,74,4.571,-1.138
디스플레이,1,2,-1,252,7.857,-1.803
