org,topic_0,topic_1,topic_10,topic_100,topic_101,topic_102,topic_103,topic_104,topic_109,topic_11,topic_110,topic_111,topic_112,topic_113,topic_114,topic_118,topic_12,topic_122,topic_123,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_2,topic_20,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_35,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_43,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_54,topic_55,topic_56,topic_57,topic_58,topic_61,topic_62,topic_68,topic_69,topic_70,topic_72,topic_73,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_83,topic_84,topic_87,topic_89,topic_9,topic_91,topic_95,topic_99
세미파이브,14.45 (0%),,,,,,,,,,,,,,,,,6.77 (0%),,,,,,,,,,,,,,,,10.06 (0%),,,,,,,,,6.56 (0%),,,,,,,,6.47 (0%),,,,9.64 (0%),,,,,,,,,,5.88 (0%),,,,,,,,,,,,,,,,,10.13 (0%),,,
소니,122.51 (0%),92.02 (1%),,,,,,,,,,,,,,60.81 (1%),,,,,,,,,,70.94 (1%),,,,,,,94.71 (2%),,,,,,,,,55.98 (1%),,,,,,,,,,,,,,,,,,67.28 (1%),,,,,,,,,,,,,55.85 (1%),,,,,,,,,,,,
아마존,271.87 (1%),,,,,145.54 (2%),,,,,,,,,,,143.48 (1%),,,,,,,,,,,,,,221.38 (3%),,,,,,,,,,,,,,,,,,,,,,,,165.19 (1%),173.67 (2%),,,,,,,,,,,,,,,,,,,,,,259.69 (3%),,,,157.81 (2%),,,
아이씨디,36.48 (0%),23.54 (0%),35.60 (0%),,,,,,,,,,,,,20.99 (0%),51.29 (0%),,,,,,,,,,,,,,,,,23.00 (0%),18.68 (0%),,,,,,,,,,,,,,,,,,,,22.71 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알파벳,132.15 (0%),,,,,99.84 (1%),,,,,,,,,,,78.33 (1%),,,,,,,,,,,,,,173.25 (2%),,,,,,,,,,,,,,,,,,,,,,,,83.97 (1%),131.48 (1%),85.42 (1%),,,,,,,,,,,,,,,,,,,,,168.24 (2%),,,,,,,
애플,1821.88 (7%),1112.83 (7%),,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.84 (27%),,,,1062.08 (8%),,,,,,,,1703.07 (26%),,,,,,,,,,,,,,,,,1055.57 (13%),,,1310.84 (24%),,,,,,,,,,,,1153.93 (20%),,,,,,,,,,,
엔비디아,1144.61 (4%),,,,,1009.65 (14%),,,,,,,,,,,610.66 (4%),,,,563.53 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.50 (7%),,,552.44 (8%),781.20 (5%),,,,,,,,,,,,,,,,,,,,,,,846.08 (11%),,,,,,,
오포,114.78 (0%),90.48 (1%),,,,,,,,,,,,,,,,,,,,,,,,,81.86 (1%),,,68.52 (1%),,,,65.83 (0%),,,,,,,,81.48 (1%),,,,,,,80.61 (1%),,,,,,,,,,79.47 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,
원익IPS,79.15 (0%),,92.15 (1%),,49.57 (1%),,40.49 (1%),,,,,,,,,,95.65 (1%),,,,,,,,,,,,,,,,,,43.83 (1%),,,,,,,,,,,,,,,,,,,,61.95 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,48.50 (1%),,,
인텔,458.40 (2%),212.58 (1%),191.28 (2%),,,,173.82 (2%),,,,,,314.99 (5%),,,,243.29 (2%),,,,194.08 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.49 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카카오,201.67 (1%),,121.47 (1%),,,,,,,,,,,,,,140.02 (1%),,,,108.13 (1%),,,,,,,,,,,,,109.23 (1%),,,,,,,,,,,,,,,,,,,,,161.75 (1%),,,,,,,,,,97.73 (1%),,,,,,,,,,,,,,,,,98.45 (1%),,,
퀄컴,385.44 (1%),,171.03 (2%),,,,,,,,,,,,,,199.63 (1%),,,,,,,,251.39 (8%),,189.42 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,224.38 (2%),,,,,,,,,,,,,,179.88 (7%),,,,,171.57 (3%),,,,,,,,,,,
텐센트,24.78 (0%),10.70 (0%),,,,,,,,,,,,,,10.86 (0%),9.01 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41 (0%),,,,,15.14 (0%),9.84 (0%),,,,,,,,,,,,,,,,,,,,,,,,,11.01 (0%),,,,
폭스바겐,152.11 (1%),,145.90 (1%),,82.15 (1%),,,,,,,,,,,,108.82 (1%),,,,,,,,,,,,,,,88.77 (3%),,,,,,,,,,,,,,,,,,,,,,,123.20 (1%),,,81.08 (2%),,,,,,,,,130.31 (1%),,,,,,,,,,,,,,,,,,
퓨리오사AI,14.45 (0%),,6.98 (0%),,,,,,,,,,,,,,8.32 (0%),,,,6.24 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85 (0%),,,,6.24 (0%),12.39 (0%),,,,,,,,,,,,,,,,,,,,,,,6.28 (0%),,,,,,,
하이센스,361.35 (1%),322.43 (2%),,,,,,254.12 (4%),,,,,,,,,,,,,,,,,,349.65 (4%),,,,,,,,,,,,,,,,,,,,216.83 (5%),,,,,,,,,,,,,,371.80 (3%),,,,,,,,,,,,,288.78 (4%),,,,,,,,277.38 (3%),,,,
하이얼,83.97 (0%),56.35 (0%),,,,,,60.90 (1%),,,,,,,,42.71 (0%),,,,,,,,,,64.43 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.65 (1%),,,,,,,,,,,,,85.97 (1%),,,,,,,,77.78 (1%),,,,
한미반도체,111.50 (0%),,100.52 (1%),,60.20 (1%),,62.83 (1%),,,,,,,,,,122.69 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.91 (1%),,,,,,,,,,63.19 (1%),,,,,,,,,,,,,,,,,81.80 (1%),,,
한화,401.27 (1%),168.35 (1%),,,,,,,,,,,,,,,160.81 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.23 (3%),,,,,,,,165.19 (1%),153.98 (2%),,,,,,,,,,201.66 (4%),,,,,,,,,,,,,149.88 (16%),,,,,,
한화솔루션,39.23 (0%),,39.09 (0%),,24.79 (0%),,21.64 (0%),,,,,,,,,21.72 (0%),33.96 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.84 (0%),,20.99 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화시스템,133.53 (0%),,108.90 (1%),,,,,,75.77 (3%),,,,,,,,106.74 (1%),,,,121.99 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.86 (1%),117.01 (1%),,,,,,,,,,,,56.47 (1%),,,,,,,,,,,,,,,,,,
현대모비스,223.69 (1%),,253.41 (2%),,134.56 (2%),,,,,,,,,,,,228.05 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.99 (1%),,,188.22 (4%),,,,,,,147.70 (2%),,151.30 (2%),,,,,,,,,,,,,,,,,,
현대자동차,339.32 (1%),,228.97 (2%),,,,,,,,,,,,,,206.56 (1%),,,,187.15 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.36 (3%),,,,159.42 (2%),236.77 (2%),,,,,,,,,,,,173.02 (2%),,,,,,,,,,,,,,,,,,
현대차,924.71 (3%),,627.69 (5%),,,,,,,,,,,,,,628.88 (4%),,,,408.53 (4%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.52 (4%),,,,671.58 (4%),,,,,,,,,,,,463.62 (4%),,,468.28 (10%),,,,,,,,,,,,,,,
화웨이,238.83 (1%),135.54 (1%),,,,,,,,,,,,,,102.07 (1%),108.82 (1%),,,,,,,,,,166.69 (2%),,,,,,,,,,,,,,,100.13 (2%),,,,,,,,,,,,,95.67 (1%),,,,,,,110.50 (2%),,,,,,,,,,,,,,,,,,,,,,,
