org,topic_0,topic_1,topic_10,topic_100,topic_101,topic_102,topic_103,topic_104,topic_109,topic_11,topic_110,topic_111,topic_112,topic_113,topic_114,topic_118,topic_12,topic_122,topic_123,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_2,topic_20,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_35,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_43,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_54,topic_55,topic_56,topic_57,topic_58,topic_61,topic_62,topic_68,topic_69,topic_70,topic_72,topic_73,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_83,topic_84,topic_87,topic_89,topic_9,topic_91,topic_95,topic_99
HP,273.25 (1%),131.97 (1%),,,,,,,,127.07 (5%),,,181.40 (3%),,,,124.77 (1%),,,,106.74 (1%),156.08 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.42 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman,33.73 (0%),,,,,,,,,,,,,,,,33.96 (0%),,,,,,,,,,,,,,,,,34.49 (0%),,,,,,,,,39.38 (0%),,,,,,,,,,,,,,34.75 (0%),,,,,,,,33.07 (0%),,,,,,51.85 (3%),,,,,,,,,,,51.40 (1%),,,
IEC,65.39 (0%),,,,,,,,,,,,,,,,35.35 (0%),,,,49.91 (1%),,,,,28.23 (0%),,,,,,,,,,47.47 (1%),,,,,,,,,,,,,,,,,,,53.69 (0%),,,,,,,,29.25 (1%),,,,,,,,,,,,,,,,,,55.75 (1%),,,,
IEEE,21.34 (0%),,8.38 (0%),,,,11.17 (0%),,,,,,,,,,11.78 (0%),,,,13.86 (0%),,,,,7.24 (0%),,,,,,,,,,9.08 (0%),,,,,,,,,,,,,,,,,,,13.08 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMID,64.70 (0%),49.22 (0%),,,,,,,,,,,,,,39.82 (0%),35.35 (0%),,32.09 (0%),,,,,,,,,,,,,,,32.34 (0%),,,,,,,,,,,,,,,,,,,,,,,,,33.08 (0%),,,,,,,,,,,,,,,,,,46.68 (1%),,,,,,,,
ITU,46.11 (0%),22.11 (0%),,,,,,,,,23.28 (1%),,,,,,20.79 (0%),,,,,,,,,39.09 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47 (0%),,,,,,,,,,,,,,,,,,,,37.45 (2%),,,,,,28.22 (0%),,,,
Innolux,46.11 (0%),34.24 (0%),,,,,,,,,,,,,,25.34 (0%),29.81 (0%),24.81 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09 (0%),,,,,,,,,,,,23.17 (0%),,,,,,,,,,24.07 (0%),,,,,,,,
IoT,427.42 (2%),,262.48 (3%),,,,,,,,,,,,,,286.27 (2%),,,,311.22 (3%),,,,,,,,,,,,,,,208.73 (3%),,,,,,,,,,,,,,,,,,,336.57 (2%),,,,,,,,,,,,155.64 (2%),,,,,,,,,,,,,,233.33 (2%),,,,
JDI,60.57 (0%),65.63 (0%),,,,,,,,,,,,,,,,,75.85 (1%),,,,,,,,,,,,,,,89.11 (1%),,,,,,,,,73.66 (1%),,,,,,56.70 (1%),,,,,,,,,,57.14 (1%),45.32 (0%),,,,,,,,,,,,,,,,,,,,,,,,,
JSR,4.13 (0%),,,,1.42 (0%),,,,,,,,,,,,2.77 (0%),2.26 (0%),,,2.08 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75 (0%),1.41 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,1.45 (0%),,,
KAIST,137.66 (1%),,62.13 (1%),,,,,,,,,,,,,,94.27 (1%),,,,73.47 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.18 (1%),44.30 (0%),,,,,,,44.94 (1%),,,,,,,,,,,,,55.33 (3%),,,,,,,,,
LG디스플레이,1572.03 (6%),1414.57 (9%),,,,,,,,,,,,,,983.81 (9%),,,1556.38 (16%),,,,,,,,,,,,,,,1679.35 (13%),,,,,,,,,1352.17 (14%),,,,,,,,,,,,,,,,,929.85 (7%),999.39 (18%),,,,,,,,,,,,,,,,,,,,,,,,
LG전자,1680.09 (6%),1060.75 (7%),,,,,,1601.40 (26%),,,,,,,,,,,,,,,,,,974.39 (11%),,,,,,,,,,,,,,,,,,,,1341.17 (28%),,,,,,,,,973.23 (7%),,,,,1766.21 (14%),,,,,1136.77 (13%),,,,,,,,,,,,,,,,,,,,
LG화학,359.28 (1%),,273.65 (3%),,,,,,,,,,,,,,295.28 (2%),,,,,,,,,,,,,,,,,252.23 (2%),,,,,,,,,,,,,287.16 (5%),,,,,,,,241.59 (2%),,,,,,,,,,213.83 (3%),208.59 (4%),,,,,,,,,,,,,,,,,,,
MOTIE,,,,,,0.70 (0%),,,,,,,0.70 (0%),,,,,,,,,,,0.72 (0%),,,,,,,,,,,,0.70 (0%),,,,,0.71 (0%),,,3.60 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72 (0%),,0.70 (0%),,,,,,,
