topic_id,topic_name,momentum_score
26,Topic #26,3.146
111,Topic #111,3.146
58,Topic #58,0.074
119,Topic #119,0.074
55,Topic #55,0.002
62,Topic #62,0.0
76,Topic #76,0.0
87,Topic #87,0.0
86,Topic #86,0.0
85,Topic #85,0.0
84,Topic #84,0.0
83,Topic #83,0.0
82,Topic #82,0.0
80,Topic #80,0.0
78,Topic #78,0.0
77,Topic #77,0.0
74,Topic #74,0.0
75,Topic #75,0.0
89,Topic #89,0.0
73,Topic #73,0.0
72,Topic #72,0.0
71,Topic #71,0.0
69,Topic #69,0.0
67,Topic #67,0.0
66,Topic #66,0.0
65,Topic #65,0.0
64,Topic #64,0.0
63,Topic #63,0.0
60,Topic #60,0.0
88,Topic #88,0.0
92,Topic #92,0.0
90,Topic #90,0.0
91,Topic #91,0.0
122,Topic #122,0.0
121,Topic #121,0.0
120,Topic #120,0.0
118,Topic #118,0.0
117,Topic #117,0.0
115,Topic #115,0.0
114,Topic #114,0.0
113,Topic #113,0.0
110,Topic #110,0.0
109,Topic #109,0.0
108,Topic #108,0.0
107,Topic #107,0.0
106,Topic #106,0.0
105,Topic #105,0.0
104,Topic #104,0.0
103,Topic #103,0.0
101,Topic #101,0.0
99,Topic #99,0.0
98,Topic #98,0.0
96,Topic #96,0.0
95,Topic #95,0.0
94,Topic #94,0.0
93,Topic #93,0.0
59,Topic #59,0.0
124,Topic #124,0.0
57,Topic #57,0.0
21,Topic #21,0.0
36,Topic #36,0.0
34,Topic #34,0.0
33,Topic #33,0.0
31,Topic #31,0.0
28,Topic #28,0.0
27,Topic #27,0.0
25,Topic #25,0.0
24,Topic #24,0.0
20,아이오닉 코스닥 IPO,0.0
39,Topic #39,0.0
17,Topic #17,0.0
14,Topic #14,0.0
11,엔씨 신작 게임쇼,0.0
10,반도체·로봇 부품 소재,0.0
9,메모리반도체 3분기 실적,0.0
8,마이크로 RGB TV,0.0
6,토요타-삼성 사이니지,0.0
5,APEC CEO 테크 서밋,0.0
38,Topic #38,0.0
29,Topic #29,0.0
48,Topic #48,0.0
44,Topic #44,0.0
54,Topic #54,0.0
50,Topic #50,0.0
51,Topic #51,0.0
47,Topic #47,0.0
46,Topic #46,0.0
45,Topic #45,0.0
52,Topic #52,0.0
49,Topic #49,0.0
53,Topic #53,0.0
43,Topic #43,0.0
42,Topic #42,0.0
41,Topic #41,0.0
40,Topic #40,0.0
97,Topic #97,-0.069
19,Topic #19,-0.16
4,LG 이지 TV,-0.16
56,Topic #56,-0.16
16,Topic #16,-0.168
1,Topic #1,-0.17
12,반도체/디스플레이 주가,-0.17
116,Topic #116,-0.17
0,OLED AI 디스플레이 경쟁,-0.17
81,Topic #81,-0.17
70,Topic #70,-0.17
61,Topic #61,-0.17
2,갤럭시 폴더블폰,-0.261
15,Topic #15,-0.309
13,게이밍 모니터,-0.309
18,갤럭시 XR 헤드셋,-0.379
22,Topic #22,-0.412
7,삼성D 기술 중국 유출,-0.412
30,Topic #30,-0.464
23,Topic #23,-0.652
35,Topic #35,-0.652
100,Topic #100,-0.69
3,갤럭시 히어로 페스타,-0.69
112,Topic #112,-1.171
79,Topic #79,-1.236
32,Topic #32,-1.236
68,Topic #68,-1.277
37,Topic #37,-1.513
123,Topic #123,-1.513
102,Topic #102,-2.302
