org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,6,33.9438,0.0806,0.5987,33.9438
AMD,7,28.9746,0.0506,0.5111,28.9746
AMD,8,26.4906,0.0272,0.4672,26.4906
AMD,4,11.4554,0.0106,0.2021,11.4554
AMD,2,10.5087,0.0118,0.1854,10.5087
AMD,0,9.8082,0.0064,0.1730,9.8082
AMD,9,8.2550,0.0238,0.1456,8.2550
AMD,3,6.5153,0.0090,0.1149,6.5153
AMD,5,6.4437,0.0080,0.1137,6.4437
AMD,1,5.5645,0.0121,0.0981,5.5645
AUO,0,26.6221,0.0173,0.7026,26.6221
AUO,2,13.3111,0.0150,0.3513,13.3111
AUO,5,12.1714,0.0151,0.3212,12.1714
AUO,7,10.4631,0.0183,0.2761,10.4631
AUO,3,9.4109,0.0130,0.2484,9.4109
AUO,4,8.5915,0.0079,0.2267,8.5915
AUO,8,8.5915,0.0088,0.2267,8.5915
AUO,6,5.2221,0.0124,0.1378,5.2221
AUO,1,4.7696,0.0104,0.1259,4.7696
AUO,9,2.4765,0.0071,0.0654,2.4765
BMW,0,12.6105,0.0082,0.6836,12.6105
BMW,7,9.6582,0.0169,0.5236,9.6582
BMW,1,5.5645,0.0121,0.3016,5.5645
BMW,4,3.5798,0.0033,0.1941,3.5798
BMW,5,3.5798,0.0044,0.1941,3.5798
BMW,2,3.5029,0.0039,0.1899,3.5029
BMW,3,2.8957,0.0040,0.1570,2.8957
BMW,9,2.4765,0.0071,0.1342,2.4765
BMW,8,2.1479,0.0022,0.1164,2.1479
BOE,0,88.2734,0.0574,0.5868,88.2734
BOE,4,62.2887,0.0574,0.4141,62.2887
BOE,3,53.5700,0.0739,0.3561,53.5700
BOE,2,52.5437,0.0592,0.3493,52.5437
BOE,5,48.6854,0.0602,0.3237,48.6854
BOE,8,40.8098,0.0420,0.2713,40.8098
BOE,7,25.7552,0.0449,0.1712,25.7552
BOE,9,17.3355,0.0499,0.1152,17.3355
BOE,6,14.7960,0.0351,0.0984,14.7960
BOE,1,10.3341,0.0225,0.0687,10.3341
BYD,0,11.2093,0.0073,0.7620,11.2093
BYD,2,4.2035,0.0047,0.2858,4.2035
BYD,7,4.0243,0.0070,0.2736,4.0243
BYD,8,3.5798,0.0037,0.2434,3.5798
BYD,1,3.1797,0.0069,0.2162,3.1797
BYD,3,2.8957,0.0040,0.1968,2.8957
BYD,4,2.8638,0.0026,0.1947,2.8638
BYD,5,2.8638,0.0035,0.1947,2.8638
BYD,9,2.4765,0.0071,0.1684,2.4765
BYD,6,1.7407,0.0041,0.1183,1.7407
CES,0,2.1017,0.0014,0.6619,2.1017
CES,7,1.6097,0.0028,0.5069,1.6097
CES,4,1.4319,0.0013,0.4509,1.4319
CES,5,0.7160,0.0009,0.2255,0.7160
CES,8,0.7160,0.0007,0.2255,0.7160
CSOT,0,51.1425,0.0333,0.5915,51.1425
CSOT,4,40.0939,0.0370,0.4637,40.0939
CSOT,3,34.0242,0.0470,0.3935,34.0242
CSOT,2,27.3227,0.0308,0.3160,27.3227
CSOT,5,26.4906,0.0328,0.3064,26.4906
CSOT,8,20.0469,0.0206,0.2318,20.0469
CSOT,7,11.2679,0.0197,0.1303,11.2679
CSOT,6,7.8332,0.0186,0.0906,7.8332
CSOT,1,6.3594,0.0139,0.0735,6.3594
CSOT,9,4.1275,0.0119,0.0477,4.1275
Counterpoint,3,0.7239,0.0010,0.5857,0.7239
Counterpoint,8,0.7160,0.0007,0.5793,0.7160
Counterpoint,2,0.7006,0.0008,0.5669,0.7006
ETRI,1,0.7949,0.0017,0.7502,0.7949
ETRI,0,0.7006,0.0005,0.6612,0.7006
HP,3,0.7239,0.0010,0.5096,0.7239
HP,8,0.7160,0.0007,0.5040,0.7160
HP,0,0.7006,0.0005,0.4931,0.7006
HP,2,0.7006,0.0008,0.4931,0.7006
IEC,0,4.2035,0.0027,0.7027,4.2035
IEC,2,2.8023,0.0032,0.4684,2.8023
IEC,5,2.1479,0.0027,0.3591,2.1479
IEC,8,2.1479,0.0022,0.3591,2.1479
IEC,3,0.7239,0.0010,0.1210,0.7239
IEC,4,0.7160,0.0007,0.1197,0.7160
IEEE,8,2.1479,0.0022,0.6114,2.1479
IEEE,3,1.4478,0.0020,0.4121,1.4478
IEEE,0,1.4012,0.0009,0.3988,1.4012
IEEE,2,1.4012,0.0016,0.3988,1.4012
IEEE,9,0.8255,0.0024,0.2350,0.8255
IEEE,4,0.7160,0.0007,0.2038,0.7160
IEEE,5,0.7160,0.0009,0.2038,0.7160
ITU,0,4.2035,0.0027,0.7027,4.2035
ITU,2,2.8023,0.0032,0.4684,2.8023
ITU,5,2.1479,0.0027,0.3591,2.1479
ITU,8,2.1479,0.0022,0.3591,2.1479
ITU,3,0.7239,0.0010,0.1210,0.7239
ITU,4,0.7160,0.0007,0.1197,0.7160
Innolux,0,31.5262,0.0205,0.6872,31.5262
Innolux,5,15.7512,0.0195,0.3434,15.7512
Innolux,3,13.0305,0.0180,0.2841,13.0305
Innolux,2,11.9099,0.0134,0.2596,11.9099
Innolux,8,11.4554,0.0118,0.2497,11.4554
Innolux,7,11.2679,0.0197,0.2456,11.2679
Innolux,4,9.3075,0.0086,0.2029,9.3075
Innolux,1,8.7442,0.0191,0.1906,8.7442
Innolux,9,8.2550,0.0238,0.1799,8.2550
Innolux,6,7.8332,0.0186,0.1708,7.8332
IoT,0,19.6163,0.0128,0.6524,19.6163
IoT,7,12.8776,0.0225,0.4283,12.8776
IoT,1,10.3341,0.0225,0.3437,10.3341
IoT,2,9.8082,0.0110,0.3262,9.8082
IoT,3,7.2392,0.0100,0.2408,7.2392
IoT,8,6.4437,0.0066,0.2143,6.4437
IoT,5,5.0117,0.0062,0.1667,5.0117
IoT,4,4.2958,0.0040,0.1429,4.2958
IoT,6,2.6111,0.0062,0.0868,2.6111
IoT,9,2.4765,0.0071,0.0824,2.4765
JDI,0,14.0116,0.0091,0.5646,14.0116
JDI,4,13.6033,0.0125,0.5481,13.6033
JDI,5,7.8756,0.0097,0.3173,7.8756
JDI,8,7.1596,0.0074,0.2885,7.1596
JDI,2,7.0058,0.0079,0.2823,7.0058
JDI,1,6.3594,0.0139,0.2562,6.3594
JDI,3,3.6196,0.0050,0.1458,3.6196
JDI,6,3.4814,0.0083,0.1403,3.4814
JDI,7,2.4146,0.0042,0.0973,2.4146
JDI,9,0.8255,0.0024,0.0333,0.8255
KAIST,0,4.2035,0.0027,0.7027,4.2035
KAIST,2,2.8023,0.0032,0.4684,2.8023
KAIST,5,2.1479,0.0027,0.3591,2.1479
KAIST,8,2.1479,0.0022,0.3591,2.1479
KAIST,3,0.7239,0.0010,0.1210,0.7239
KAIST,4,0.7160,0.0007,0.1197,0.7160
LG디스플레이,0,154.1281,0.1002,0.6024,154.1281
LG디스플레이,4,133.8849,0.1234,0.5233,133.8849
LG디스플레이,2,81.2675,0.0916,0.3176,81.2675
LG디스플레이,3,79.6311,0.1099,0.3112,79.6311
LG디스플레이,5,76.6079,0.0948,0.2994,76.6079
LG디스플레이,8,55.8450,0.0574,0.2183,55.8450
LG디스플레이,7,28.9746,0.0506,0.1132,28.9746
LG디스플레이,1,25.4378,0.0555,0.0994,25.4378
LG디스플레이,6,13.9257,0.0331,0.0544,13.9257
LG디스플레이,9,13.2080,0.0380,0.0516,13.2080
LG전자,0,87.5728,0.0569,0.5184,87.5728
LG전자,8,68.0164,0.0700,0.4026,68.0164
LG전자,7,66.8026,0.1166,0.3954,66.8026
LG전자,4,62.2887,0.0574,0.3687,62.2887
LG전자,6,45.2584,0.1074,0.2679,45.2584
LG전자,2,41.3343,0.0466,0.2447,41.3343
LG전자,5,38.6619,0.0478,0.2288,38.6619
