term,cur,prev,diff,ma7,z_like,total
레노버,12,0,12,1.857,4.293,115
삼성디스플레이,12,1,11,2.857,3.398,156
oled,21,8,13,8.143,3.336,305
tv,21,9,12,8.857,3.054,223
lcd,12,12,0,4.0,2.667,46
lg전자,27,11,16,15.286,2.386,308
올레드,5,0,5,0.857,2.151,18
아이폰,8,1,7,2.857,1.912,73
현대자동차,4,0,4,0.714,1.781,5
byd,2,0,2,0.286,1.117,10
tcl,2,0,2,0.571,0.814,6
모바일,6,15,-9,3.714,0.781,50
애플,7,4,3,4.571,0.774,202
그램,1,0,1,0.143,0.622,2
텐센트,1,0,1,0.143,0.622,1
해상도,1,0,1,0.143,0.622,3
마이크로소프트,1,0,1,0.286,0.465,10
소니,1,0,1,0.286,0.465,8
엔비디아,3,2,1,2.571,0.165,117
노트북,3,5,-2,2.714,0.108,102
hp,3,10,-7,2.714,0.108,38
폴더블,3,4,-1,2.857,0.053,102
디스플레이,8,9,-1,7.857,0.038,186
삼성전자,11,32,-21,10.857,0.033,374
lg디스플레이,3,7,-4,3.857,-0.289,126
모니터,2,1,1,3.143,-0.412,98
맥북,1,0,1,2.0,-0.414,16
구글,1,2,-1,2.429,-0.558,72
sk하이닉스,1,4,-3,2.429,-0.558,54
xr,2,7,-5,3.714,-0.586,102
갤럭시,3,5,-2,5.0,-0.618,85
ar,1,1,0,3.0,-0.732,52
스마트폰,2,10,-8,5.571,-1.063,108
boe,1,27,-26,4.714,-1.171,64
