term,cur,prev,diff,ma7,z_like,total,date
lg디스플레이,17,2,15,5.571,3.401,127,2026-06-26
레노버,9,0,9,1.571,3.296,75,2026-06-26
oled,28,15,13,14.286,2.869,324,2026-06-26
애플,24,8,16,11.571,2.824,217,2026-06-26
퀄컴,8,3,5,1.857,2.6,51,2026-06-26
hp,6,0,6,1.0,2.5,23,2026-06-26
아이패드,6,0,6,1.0,2.5,9,2026-06-26
공급망,9,1,8,2.857,2.283,53,2026-06-26
맥북,5,0,5,1.143,1.864,25,2026-06-26
모바일,4,0,4,1.143,1.381,29,2026-06-26
삼성디스플레이,4,1,3,1.143,1.381,58,2026-06-26
tv,15,40,-25,10.429,1.081,291,2026-06-26
갤럭시,4,2,2,1.714,0.99,46,2026-06-26
4k,2,1,1,0.429,0.95,29,2026-06-26
해상도,2,0,2,0.571,0.814,5,2026-06-26
xr,5,3,2,3.0,0.732,149,2026-06-26
모니터,7,5,2,4.714,0.721,110,2026-06-26
inspection,1,0,1,0.143,0.622,2,2026-06-26
딥엑스,1,0,1,0.143,0.622,7,2026-06-26
주사율,1,0,1,0.143,0.622,4,2026-06-26
디스플레이,8,3,5,6.143,0.534,192,2026-06-26
vr,1,0,1,0.286,0.465,8,2026-06-26
잉크젯,1,0,1,0.286,0.465,5,2026-06-26
선익시스템,1,1,0,0.286,0.465,18,2026-06-26
ar,2,0,2,1.143,0.414,36,2026-06-26
csot,1,0,1,0.429,0.345,4,2026-06-26
tcl,1,0,1,0.429,0.345,29,2026-06-26
하이센스,1,0,1,0.571,0.244,45,2026-06-26
인텔,1,0,1,0.714,0.155,54,2026-06-26
boe,2,3,-1,1.714,0.124,39,2026-06-26
양산,2,4,-2,2.143,-0.058,56,2026-06-26
노트북,3,4,-1,3.286,-0.102,117,2026-06-26
메타,1,6,-5,1.714,-0.309,32,2026-06-26
스마트폰,2,3,-1,2.857,-0.319,74,2026-06-26
sk하이닉스,4,4,0,5.143,-0.35,76,2026-06-26
아이폰,1,3,-2,3.429,-0.852,70,2026-06-26
폴더블,2,7,-5,4.857,-0.892,89,2026-06-26
엔비디아,1,2,-1,3.714,-0.927,230,2026-06-26
삼성전자,3,10,-7,9.286,-1.553,420,2026-06-26
lg전자,8,27,-19,16.857,-1.735,327,2026-06-26
아이패드,9,6,3,2.286,2.673,18,2026-06-27
맥북,8,5,3,2.286,2.275,31,2026-06-27
기아,4,0,4,0.571,1.953,12,2026-06-27
레노버,7,9,-2,2.429,1.787,81,2026-06-27
byd,4,0,4,0.714,1.781,15,2026-06-27
apple,3,0,3,0.429,1.554,4,2026-06-27
tcl,3,1,2,0.571,1.383,32,2026-06-27
게이밍모니터,2,0,2,0.286,1.117,12,2026-06-27
bmw,3,0,3,0.857,1.113,21,2026-06-27
애플,17,24,-7,12.143,1.083,232,2026-06-27
현대자동차,2,0,2,0.429,0.95,3,2026-06-27
lcd,2,0,2,0.571,0.814,14,2026-06-27
ar,3,2,1,1.286,0.803,38,2026-06-27
sharp,2,0,2,0.714,0.697,18,2026-06-27
인텔,2,1,1,0.714,0.697,55,2026-06-27
dell,1,0,1,0.143,0.622,7,2026-06-27
원익ips,1,0,1,0.143,0.622,9,2026-06-27
롤러블,1,0,1,0.429,0.345,4,2026-06-27
4k,1,2,-1,0.571,0.244,30,2026-06-27
구글,1,0,1,0.714,0.155,45,2026-06-27
아이폰,3,1,2,2.714,0.108,72,2026-06-27
양산,2,2,0,2.143,-0.058,57,2026-06-27
갤럭시,1,4,-3,1.143,-0.069,46,2026-06-27
삼성전자,9,3,6,10.0,-0.24,414,2026-06-27
스마트폰,2,2,0,2.714,-0.27,70,2026-06-27
xr,2,5,-3,2.857,-0.319,149,2026-06-27
엔비디아,3,1,2,4.0,-0.333,231,2026-06-27
lg디스플레이,5,17,-12,6.286,-0.367,127,2026-06-27
모니터,3,7,-4,4.714,-0.541,113,2026-06-27
올레드,1,0,1,2.429,-0.558,35,2026-06-27
디스플레이,4,8,-4,6.286,-0.652,188,2026-06-27
tv,8,15,-7,10.857,-0.665,294,2026-06-27
sk하이닉스,2,4,-2,4.429,-0.782,76,2026-06-27
노트북,1,3,-2,3.429,-0.852,114,2026-06-27
폴더블,2,2,0,4.714,-0.856,90,2026-06-27
lg전자,9,8,1,14.571,-1.157,317,2026-06-27
oled,5,28,-23,13.429,-1.807,325,2026-06-27
비전프로,4,0,4,0.571,1.953,5,2026-06-28
애플,21,17,4,14.857,1.265,251,2026-06-28
host,1,0,1,0.143,0.622,2,2026-06-28
고효율,1,0,1,0.286,0.465,4,2026-06-28
ar,2,3,-1,1.571,0.19,40,2026-06-28
기아,1,4,-3,0.714,0.155,13,2026-06-28
맥북,3,8,-5,2.714,0.108,34,2026-06-28
byd,1,4,-3,0.857,0.074,16,2026-06-28
모바일,1,0,1,1.0,0.0,26,2026-06-28
bmw,1,3,-2,1.0,0.0,21,2026-06-28
hp,1,0,1,1.143,-0.069,20,2026-06-28
갤럭시,1,1,0,1.143,-0.069,46,2026-06-28
xr,3,2,1,3.286,-0.102,150,2026-06-28
스마트폰,2,2,0,2.714,-0.27,70,2026-06-28
노트북,2,1,1,3.571,-0.544,113,2026-06-28
아이패드,1,9,-8,2.429,-0.558,19,2026-06-28
올레드,1,1,0,2.571,-0.604,36,2026-06-28
sk하이닉스,2,2,0,4.429,-0.782,76,2026-06-28
엔비디아,1,3,-2,4.0,-1.0,228,2026-06-28
모니터,1,3,-2,4.857,-1.204,91,2026-06-28
디스플레이,2,4,-2,6.571,-1.283,174,2026-06-28
lg디스플레이,1,5,-4,6.429,-1.535,112,2026-06-28
삼성전자,3,9,-6,9.714,-1.631,394,2026-06-28
tv,4,8,-4,11.143,-1.647,293,2026-06-28
lg전자,5,9,-4,14.286,-1.943,309,2026-06-28
oled,2,5,-3,13.714,-2.491,283,2026-06-28
아이패드,6,1,5,3.143,1.03,24,2026-06-29
