term,cur,prev,diff,ma7,z_like,total
아이패드,6,0,6,1.0,2.5,9
hp,6,0,6,1.0,2.5,23
맥북,5,0,5,1.143,1.864,25
모바일,4,0,4,1.143,1.381,29
기아,4,0,4,0.571,1.953,12
byd,4,0,4,0.714,1.781,15
apple,3,0,3,0.429,1.554,4
tcl,3,1,2,0.571,1.383,32
게이밍모니터,2,0,2,0.286,1.117,12
bmw,3,0,3,0.857,1.113,21
현대자동차,2,0,2,0.429,0.95,3
비전프로,4,0,4,0.571,1.953,5
아이패드,6,1,5,3.143,1.03,24
알파벳,4,0,4,0.571,1.953,5
csot,3,1,2,0.714,1.239,8
태블릿,3,1,2,0.714,1.239,17
파나소닉,2,0,2,0.286,1.117,2
asus,4,0,4,1.714,0.99,23
선익시스템,10,2,8,2.0,3.314,30
4k,6,0,6,1.286,2.209,15
파나소닉,5,0,5,1.0,2.0,7
lcd,4,0,4,0.857,1.632,18
메타,3,0,3,0.571,1.383,30
tcl,5,1,4,1.857,1.33,31
고성능,3,1,2,0.714,1.239,18
기아,4,1,3,1.429,1.171,16
현대모비스,2,0,2,0.286,1.117,5
